	Naumovozyma_castellii	Saccharomyces_cerevisiae
OG0000000	snap_masked-HE576759-processed-gene-5.109-mRNA-1_1&gene=snap_masked-HE576759-processed-gene-5.109&CDS=1-1644, snap_masked-HE576759-processed-gene-5.62-mRNA-1_1&gene=snap_masked-HE576759-processed-gene-5.62&CDS=1-429	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W
OG0000001	augustus_masked-HE576756-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-4.24&CDS=1-672	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
OG0000002	augustus_masked-HE576754-processed-gene-10.133-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-10.133&CDS=1-1629, augustus_masked-HE576757-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.106&CDS=1-1584, maker-HE576756-augustus-gene-7.221-mRNA-1_1&gene=maker-HE576756-augustus-gene-7.221&CDS=1-1644, snap_masked-HE576753-processed-gene-10.80-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-10.80&CDS=1-1596, snap_masked-HE576754-processed-gene-10.70-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-10.70&CDS=1-1593, snap_masked-HE576754-processed-gene-10.90-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-10.90&CDS=1-1602, snap_masked-HE576754-processed-gene-11.73-mRNA-1_1&gene=snap_masked-HE576754-processed-gene-11.73&CDS=1-1581, snap_masked-HE576756-processed-gene-3.96-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-3.96&CDS=1-1539, snap_masked-HE576756-processed-gene-6.75-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-6.75&CDS=1-1587, snap_masked-HE576757-processed-gene-1.91-mRNA-1_1&gene=snap_masked-HE576757-processed-gene-1.91&CDS=1-1158, snap_masked-HE576758-processed-gene-2.66-mRNA-1_1&gene=snap_masked-HE576758-processed-gene-2.66&CDS=1-1533, snap_masked-HE576758-processed-gene-7.168-mRNA-1_1&gene=snap_masked-HE576758-processed-gene-7.168&CDS=1-495, snap_masked-HE576759-processed-gene-1.60-mRNA-1_1&gene=snap_masked-HE576759-processed-gene-1.60&CDS=1-1611, snap_masked-HE576761-processed-gene-3.230-mRNA-1_1&gene=snap_masked-HE576761-processed-gene-3.230&CDS=1-1578	YIR025W
OG0000003	augustus_masked-HE576752-processed-gene-17.25-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-17.25&CDS=1-1779, augustus_masked-HE576752-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.93&CDS=1-1722, augustus_masked-HE576754-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-5.70&CDS=1-1704, augustus_masked-HE576756-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-0.68&CDS=1-1674, augustus_masked-HE576756-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-HE576756-processed-gene-6.34&CDS=1-1677, augustus_masked-HE576757-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-0.82&CDS=1-1707, augustus_masked-HE576757-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-7.100&CDS=1-1704, augustus_masked-HE576760-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-5.80&CDS=1-1725, augustus_masked-HE576760-processed-gene-5.81-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-5.81&CDS=1-1704, augustus_masked-HE576761-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-HE576761-processed-gene-0.105&CDS=1-1605, genemark-HE576761-processed-gene-0.62-mRNA-1_1&gene=genemark-HE576761-processed-gene-0.62&CDS=1-1716	YFL011W, YMR011W
OG0000004	augustus_masked-HE576760-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-HE576760-processed-gene-1.88&CDS=1-705, snap_masked-HE576752-processed-gene-21.50-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-21.50&CDS=1-741	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
OG0000005	augustus_masked-HE576754-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-0.59&CDS=1-486, augustus_masked-HE576754-processed-gene-11.32-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-11.32&CDS=1-1014, augustus_masked-HE576755-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-0.15&CDS=1-663, augustus_masked-HE576757-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-HE576757-processed-gene-7.103&CDS=1-1221, augustus_masked-HE576759-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-0.97&CDS=1-1887, augustus_masked-HE576759-processed-gene-5.217-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-5.217&CDS=1-288, snap_masked-HE576752-processed-gene-6.19-mRNA-1_1&gene=snap_masked-HE576752-processed-gene-6.19&CDS=1-4563, snap_masked-HE576756-processed-gene-0.25-mRNA-1_1&gene=snap_masked-HE576756-processed-gene-0.25&CDS=1-2535, snap_masked-HE576759-processed-gene-5.61-mRNA-1_1&gene=snap_masked-HE576759-processed-gene-5.61&CDS=1-1833	
OG0000006	augustus_masked-HE576752-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-6.108&CDS=1-1041, augustus_masked-HE576754-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-10.124&CDS=1-1041, augustus_masked-HE576754-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-HE576754-processed-gene-11.58&CDS=1-1038, augustus_masked-HE576755-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-2.61&CDS=1-1053, augustus_masked-HE576755-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-4.31&CDS=1-1038, augustus_masked-HE576755-processed-gene-6.161-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-6.161&CDS=1-1050, augustus_masked-HE576759-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-1.115&CDS=1-1038	YDR541C, YOL151W
OG0000007	augustus_masked-HE576753-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-HE576753-processed-gene-7.65&CDS=1-1998, augustus_masked-HE576759-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-HE576759-processed-gene-4.79&CDS=1-3087, snap_masked-HE576753-processed-gene-7.107-mRNA-1_1&gene=snap_masked-HE576753-processed-gene-7.107&CDS=1-3834, snap_masked-HE576759-processed-gene-4.38-mRNA-1_1&gene=snap_masked-HE576759-processed-gene-4.38&CDS=1-2019, snap_masked-HE576761-processed-gene-3.199-mRNA-1_1&gene=snap_masked-HE576761-processed-gene-3.199&CDS=1-2319	YAR066W, YHR214W, YIL169C, YOL155C
OG0000008		YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YJL214W, YJL219W, YLR081W, YOL156W
OG0000009	augustus_masked-HE576752-processed-gene-14.127-mRNA-1_1&gene=augustus_masked-HE576752-processed-gene-14.127&CDS=1-1293, augustus_masked-HE576755-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-3.68&CDS=1-1161, augustus_masked-HE576755-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-3.90&CDS=1-1158, augustus_masked-HE576755-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-HE576755-processed-gene-7.12&CDS=1-2568, genemark-HE576752-processed-gene-9.3-mRNA-1_1&gene=genemark-HE576752-processed-gene-9.3&CDS=1-1152, snap_masked-HE576755-processed-gene-8.143-mRNA-1_1&gene=snap_masked-HE576755-processed-gene-8.143&CDS=1-1161	YMR187C
