	Candida_succiphila	Saccharomyces_cerevisiae
OG0000000	-processed-gene-0.40-mRNA-1_1&gene=snap_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-0.40&CDS=1-1779, -processed-gene-0.53-mRNA-1_1&gene=augustus_masked-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-0.53&CDS=1-1968, -processed-gene-0.56-mRNA-1_1&gene=genemark-gi|1002316212|dbj|BCGL01000012.1|-processed-gene-0.56&CDS=1-921, -processed-gene-12.75-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-12.75&CDS=1-756, -processed-gene-17.75-mRNA-1_1&gene=augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-17.75&CDS=1-1296, -processed-gene-2.72-mRNA-1_1&gene=genemark-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-2.72&CDS=1-828, -snap-gene-18.111-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-snap-gene-18.111&CDS=1-2046	YBR240C, YDR207C
OG0000001	-processed-gene-1.75-mRNA-1_1&gene=genemark-gi|1002316213|dbj|BCGL01000011.1|-processed-gene-1.75&CDS=1-1068, -processed-gene-13.69-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.69&CDS=1-1074, -processed-gene-22.104-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-22.104&CDS=1-1092, -processed-gene-8.115-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-8.115&CDS=1-1011	YDR541C, YGL039W, YGL157W, YOL151W
OG0000002	-augustus-gene-8.52-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-augustus-gene-8.52&CDS=1-3738, -processed-gene-15.65-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-15.65&CDS=1-3195, -processed-gene-5.64-mRNA-1_1&gene=genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-5.64&CDS=1-2832, -processed-gene-6.48-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-6.48&CDS=1-2304	YER013W, YGL120C, YKR086W, YNR011C
OG0000003	-processed-gene-0.100-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-0.100&CDS=1-1821, -processed-gene-1.116-mRNA-1_1&gene=augustus_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-1.116&CDS=1-3540	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000004	-processed-gene-10.98-mRNA-1_1&gene=genemark-gi|1002316219|dbj|BCGL01000005.1|-processed-gene-10.98&CDS=1-1251, -processed-gene-13.42-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-13.42&CDS=1-1251, -processed-gene-14.63-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-14.63&CDS=1-1239, -processed-gene-8.48-mRNA-1_1&gene=genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-8.48&CDS=1-1242, -processed-gene-9.47-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-9.47&CDS=1-1173, -snap-gene-0.4-mRNA-1_1&gene=maker-gi|1002316219|dbj|BCGL01000005.1|-snap-gene-0.4&CDS=1-2415	YHR179W, YPL171C
OG0000005	-augustus-gene-17.45-mRNA-1_1&gene=maker-gi|1002316222|dbj|BCGL01000002.1|-augustus-gene-17.45&CDS=1-3438, -processed-gene-0.48-mRNA-1_1&gene=augustus_masked-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-0.48&CDS=1-4209, -processed-gene-1.62-mRNA-1_1&gene=genemark-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-1.62&CDS=1-1650, -processed-gene-1.80-mRNA-1_1&gene=genemark-gi|1002316213|dbj|BCGL01000011.1|-processed-gene-1.80&CDS=1-1764, -processed-gene-4.81-mRNA-1_1&gene=genemark-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-4.81&CDS=1-2091, -processed-gene-8.11-mRNA-1_1&gene=augustus_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-8.11&CDS=1-1971	YBR015C
OG0000006	-processed-gene-0.101-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-0.101&CDS=1-1695, -processed-gene-1.144-mRNA-1_1&gene=genemark-gi|1002316213|dbj|BCGL01000011.1|-processed-gene-1.144&CDS=1-1587, -processed-gene-15.75-mRNA-1_1&gene=genemark-gi|1002316221|dbj|BCGL01000003.1|-processed-gene-15.75&CDS=1-1317, -processed-gene-2.100-mRNA-1_1&gene=augustus_masked-gi|1002316218|dbj|BCGL01000006.1|-processed-gene-2.100&CDS=1-5271, -processed-gene-22.106-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-22.106&CDS=1-1698, -processed-gene-3.106-mRNA-1_1&gene=genemark-gi|1002316214|dbj|BCGL01000010.1|-processed-gene-3.106&CDS=1-1509	YCR028C
OG0000007	-processed-gene-0.28-mRNA-1_1&gene=genemark-gi|1002316215|dbj|BCGL01000009.1|-processed-gene-0.28&CDS=1-1500, -processed-gene-13.79-mRNA-1_1&gene=augustus_masked-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-13.79&CDS=1-2232, -processed-gene-4.118-mRNA-1_1&gene=augustus_masked-gi|1002316220|dbj|BCGL01000004.1|-processed-gene-4.118&CDS=1-1488, -processed-gene-4.19-mRNA-1_1&gene=genemark-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-4.19&CDS=1-1488	YLR201C, YMR169C, YMR170C
OG0000008	-processed-gene-2.147-mRNA-1_1&gene=snap_masked-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-2.147&CDS=1-1872, -processed-gene-2.32-mRNA-1_1&gene=genemark-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-2.32&CDS=1-3117, -processed-gene-4.6-mRNA-1_1&gene=augustus_masked-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-4.6&CDS=1-3168, -processed-gene-8.229-mRNA-1_1&gene=snap_masked-gi|1002316217|dbj|BCGL01000007.1|-processed-gene-8.229&CDS=1-2145	YDR303C, YHR054C, YHR056C
OG0000009	-processed-gene-17.20-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-17.20&CDS=1-2109, -processed-gene-17.21-mRNA-1_1&gene=genemark-gi|1002316223|dbj|BCGL01000001.1|-processed-gene-17.21&CDS=1-2106, -processed-gene-3.75-mRNA-1_1&gene=snap_masked-gi|1002316216|dbj|BCGL01000008.1|-processed-gene-3.75&CDS=1-2127, -processed-gene-5.21-mRNA-1_1&gene=genemark-gi|1002316222|dbj|BCGL01000002.1|-processed-gene-5.21&CDS=1-2109	YKL220C, YNR060W, YOR381W
