	Cyberlindnera_fabianii_JCM3601	Saccharomyces_cerevisiae
OG0000000	-processed-gene-18.237-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-18.237&CDS=1-2535	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C
OG0000001	-processed-gene-11.98-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-11.98&CDS=1-1776, -processed-gene-20.25-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-20.25&CDS=1-1779, -processed-gene-25.65-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-25.65&CDS=1-1752, -processed-gene-25.70-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-25.70&CDS=1-1743, -processed-gene-25.86-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-25.86&CDS=1-1755, -processed-gene-9.136-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-9.136&CDS=1-1791, -snap-gene-14.46-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-14.46&CDS=1-5037	YCL025C, YDR508C, YGR191W, YKR039W
OG0000002	-processed-gene-14.150-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-14.150&CDS=1-1731, -processed-gene-15.142-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-15.142&CDS=1-1263, -processed-gene-5.122-mRNA-1_1&gene=genemark-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-5.122&CDS=1-2868, -processed-gene-5.30-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-5.30&CDS=1-2712, -processed-gene-5.32-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-5.32&CDS=1-2784, -processed-gene-5.46-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-5.46&CDS=1-2844, -processed-gene-5.55-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-5.55&CDS=1-2784, -snap-gene-13.64-mRNA-1_1&gene=maker-gi|1002316268|dbj|BCGI01000002.1|-snap-gene-13.64&CDS=1-3069, -snap-gene-5.1-mRNA-1_1&gene=maker-gi|1002316268|dbj|BCGI01000002.1|-snap-gene-5.1&CDS=1-2622, -snap-gene-5.2-mRNA-1_1&gene=maker-gi|1002316268|dbj|BCGI01000002.1|-snap-gene-5.2&CDS=1-2745	
OG0000003	-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-10.77&CDS=1-1200, -processed-gene-12.28-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.28&CDS=1-1035, -processed-gene-12.74-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-12.74&CDS=1-1245, -processed-gene-13.84-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.84&CDS=1-1035, -processed-gene-2.33-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-2.33&CDS=1-1014, -processed-gene-24.95-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-24.95&CDS=1-924, -processed-gene-5.92-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-5.92&CDS=1-1077, -processed-gene-6.97-mRNA-1_1&gene=genemark-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-6.97&CDS=1-1113	YGR263C
OG0000004	-processed-gene-10.155-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-10.155&CDS=1-1620, -processed-gene-10.30-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-10.30&CDS=1-1650, -processed-gene-13.23-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-13.23&CDS=1-1644, -processed-gene-13.70-mRNA-1_1&gene=augustus_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-13.70&CDS=1-1725, -processed-gene-15.131-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-15.131&CDS=1-1602, -processed-gene-19.36-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-19.36&CDS=1-1728, -processed-gene-4.80-mRNA-1_1&gene=augustus_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-4.80&CDS=1-1617, -processed-gene-6.107-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-6.107&CDS=1-1644	YDR242W
OG0000005	-processed-gene-14.149-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-14.149&CDS=1-2094, -processed-gene-19.3-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-19.3&CDS=1-1770, -processed-gene-20.43-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-20.43&CDS=1-2016, -processed-gene-6.29-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-6.29&CDS=1-1686, -processed-gene-7.14-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-7.14&CDS=1-1782, -processed-gene-8.34-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-8.34&CDS=1-1641, -processed-gene-9.1-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-9.1&CDS=1-1605	YBR015C, YJL186W
OG0000006	-processed-gene-12.17-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-12.17&CDS=1-1566, -processed-gene-17.11-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-17.11&CDS=1-1593, -processed-gene-17.48-mRNA-1_1&gene=snap_masked-gi|1002316266|dbj|BCGI01000004.1|-processed-gene-17.48&CDS=1-1611, -processed-gene-19.7-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-19.7&CDS=1-1587, -processed-gene-2.118-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-2.118&CDS=1-1566, -processed-gene-23.45-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-23.45&CDS=1-1602, -processed-gene-6.110-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-6.110&CDS=1-1599, -processed-gene-8.33-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-8.33&CDS=1-1581	YJR152W
OG0000007	-processed-gene-28.86-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-28.86&CDS=1-1686, -snap-gene-30.76-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-30.76&CDS=1-3354	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000008	-processed-gene-0.128-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-0.128&CDS=1-1857, -processed-gene-1.12-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-1.12&CDS=1-1272, -processed-gene-10.2-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-10.2&CDS=1-639, -processed-gene-11.95-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.95&CDS=1-1467, -processed-gene-16.65-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-16.65&CDS=1-735, -processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-3.92&CDS=1-627, -processed-gene-6.61-mRNA-1_1&gene=snap_masked-gi|1002316265|dbj|BCGI01000005.1|-processed-gene-6.61&CDS=1-1755	YDR207C
OG0000009	-processed-gene-1.131-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-1.131&CDS=1-2040, -processed-gene-2.65-mRNA-1_1&gene=genemark-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-2.65&CDS=1-2040, -processed-gene-7.18-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-7.18&CDS=1-2124, -processed-gene-9.143-mRNA-1_1&gene=snap_masked-gi|1002316264|dbj|BCGI01000006.1|-processed-gene-9.143&CDS=1-2157	YKL220C, YNR060W, YOR381W, YOR384W
