"","OG","dN_dS","group"
"1","OG8384",0.19915,"All_OG"
"2","OG13001",0.18485,"All_OG"
"3","OG18405",0.3624,"All_OG"
"4","OG15354",0.3433,"All_OG"
"5","OG2176",0.08765,"All_OG"
"6","OG12299",0.0596,"All_OG"
"7","OG8016",0.1738,"All_OG"
"8","OG3717",0.1762,"All_OG"
"9","OG15788",0.3005,"All_OG"
"10","OG3802",0.3605,"All_OG"
"11","OG1516",0.035,"All_OG"
"12","OG4950",0.12615,"All_OG"
"13","OG14805",0.229,"All_OG"
"14","OG2455",0.09515,"All_OG"
"15","OG4173",0.1323,"All_OG"
"16","OG1200",0.1602,"All_OG"
"17","OG11661",0.34595,"All_OG"
"18","OG7673",0.1423,"All_OG"
"19","OG11297",0.3073,"All_OG"
"20","OG4041",0.3475,"All_OG"
"21","OG3896",0.1764,"All_OG"
"22","OG4436",0.1396,"All_OG"
"23","OG10627",0.2547,"All_OG"
"24","OG6426",0.27975,"All_OG"
"25","OG16100",0.14425,"All_OG"
"26","OG9958",0.1937,"All_OG"
"27","OG3480",0.07985,"All_OG"
"28","OG4804",0.40505,"All_OG"
"29","OG15631",0.1712,"All_OG"
"30","OG5194",0.23775,"All_OG"
"31","OG3347",0.1529,"All_OG"
"32","OG9435",0.13425,"All_OG"
"33","OG15282",0.22125,"All_OG"
"34","OG6069",0.2664,"All_OG"
"35","OG9918",0.40945,"All_OG"
"36","OG7604",0.23955,"All_OG"
"37","OG3371",0.2698,"All_OG"
"38","OG17582",0.25245,"All_OG"
"39","OG16467",0.0973,"All_OG"
"40","OG8533",0.27865,"All_OG"
"41","OG15711",0.1564,"All_OG"
"42","OG18627",0.285,"All_OG"
"43","OG9335",0.3999,"All_OG"
"44","OG11359",0.2163,"All_OG"
"45","OG11025",0.0179,"All_OG"
"46","OG7126",0.2172,"All_OG"
"47","OG8119",0.1483,"All_OG"
"48","OG3718",0.1981,"All_OG"
"49","OG8941",0.3022,"All_OG"
"50","OG16083",0.0914,"All_OG"
"51","OG8383",0.287,"All_OG"
"52","OG2818",0.14165,"All_OG"
"53","OG6573",0.1777,"All_OG"
"54","OG1308",0.0482,"All_OG"
"55","OG4278",0.468,"All_OG"
"56","OG2164",0.1217,"All_OG"
"57","OG14748",0.3348,"All_OG"
"58","OG3532",0.2489,"All_OG"
"59","OG5137",0.376,"All_OG"
"60","OG2649",0.1815,"All_OG"
"61","OG12195",0.2492,"All_OG"
"62","OG13695",0.248,"All_OG"
"63","OG14549",0.243,"All_OG"
"64","OG15427",0.2745,"All_OG"
"65","OG5927",0.4498,"All_OG"
"66","OG9626",0.35305,"All_OG"
"67","OG1370",0.1212,"All_OG"
"68","OG12828",0.3775,"All_OG"
"69","OG5962",0.2202,"All_OG"
"70","OG13284",0.1326,"All_OG"
"71","OG16078",0.0833,"All_OG"
"72","OG12748",0.2856,"All_OG"
"73","OG5191",0.2767,"All_OG"
"74","OG13289",0.2461,"All_OG"
"75","OG18026",0.0915,"All_OG"
"76","OG11403",0.27895,"All_OG"
"77","OG2971",0.2733,"All_OG"
"78","OG1325",0.0266,"All_OG"
"79","OG8269",0.2627,"All_OG"
"80","OG12406",0.2606,"All_OG"
"81","OG10096",0.2218,"All_OG"
"82","OG10331",0.3393,"All_OG"
"83","OG6914",0.2905,"All_OG"
"84","OG4195",0.2422,"All_OG"
"85","OG2942",0.0672,"All_OG"
"86","OG12647",0.43355,"All_OG"
"87","OG6621",0.21875,"All_OG"
"88","OG11967",0.1871,"All_OG"
"89","OG14236",0.2525,"All_OG"
"90","OG11140",0.46245,"All_OG"
"91","OG18278",0.19575,"All_OG"
"92","OG6443",0.2665,"All_OG"
"93","OG3847",0.12445,"All_OG"
"94","OG16006",0.4328,"All_OG"
"95","OG9712",0.3696,"All_OG"
"96","OG14618",0.24155,"All_OG"
"97","OG17537",0.3244,"All_OG"
"98","OG18707",0.1873,"All_OG"
"99","OG11110",0.34965,"All_OG"
"100","OG14589",0.2072,"All_OG"
"101","OG6076",0.1684,"All_OG"
"102","OG4065",0.1824,"All_OG"
"103","OG5269",0.3555,"All_OG"
"104","OG9688",0.32875,"All_OG"
"105","OG16163",0.18595,"All_OG"
"106","OG8548",0.252,"All_OG"
"107","OG8373",0.0732,"All_OG"
"108","OG8532",0.3999,"All_OG"
"109","OG6021",0.3317,"All_OG"
"110","OG6152",0.30375,"All_OG"
"111","OG17417",0.2312,"All_OG"
"112","OG3276",0.0492,"All_OG"
"113","OG11344",0.4019,"All_OG"
"114","OG1444",0.04905,"All_OG"
"115","OG4759",0.1398,"All_OG"
"116","OG11457",0.2165,"All_OG"
"117","OG8093",0.3928,"All_OG"
"118","OG13134",0.3209,"All_OG"
"119","OG7091",0.3224,"All_OG"
"120","OG17540",0.2606,"All_OG"
"121","OG15382",0.195,"All_OG"
"122","OG4653",0.1382,"All_OG"
"123","OG15687",0.2473,"All_OG"
"124","OG8315",0.1801,"All_OG"
"125","OG17522",0.1514,"All_OG"
"126","OG14081",0.2359,"All_OG"
