	Candida_carpophila	Saccharomyces_cerevisiae
OG0000000		YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
OG0000001	-processed-gene-0.100-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-0.100&CDS=1-993, -processed-gene-0.22-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-0.22&CDS=1-1014, -processed-gene-12.105-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-12.105&CDS=1-993, -processed-gene-12.140-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-12.140&CDS=1-984, -processed-gene-14.23-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-14.23&CDS=1-1002, -processed-gene-3.137-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-3.137&CDS=1-1008, -processed-gene-7.168-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-7.168&CDS=1-1014	YDR541C, YGL039W, YGL157W, YOL151W
OG0000002	-processed-gene-0.102-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.102&CDS=1-1797, -processed-gene-0.60-mRNA-1_1&gene=genemark-gi|1002316123|dbj|BCGK01000007.1|-processed-gene-0.60&CDS=1-2358, -processed-gene-1.28-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-1.28&CDS=1-2337, -processed-gene-10.23-mRNA-1_1&gene=snap_masked-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-10.23&CDS=1-1113, -processed-gene-16.95-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-16.95&CDS=1-2412, -processed-gene-7.132-mRNA-1_1&gene=snap_masked-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.132&CDS=1-2259, -processed-gene-7.61-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-7.61&CDS=1-2376, -snap-gene-16.3-mRNA-1_1&gene=maker-gi|1002316128|dbj|BCGK01000002.1|-snap-gene-16.3&CDS=1-4779	YJR061W, YKL201C
OG0000003	-augustus-gene-0.2-mRNA-1_1&gene=maker-gi|1002316122|dbj|BCGK01000008.1|-augustus-gene-0.2&CDS=1-3105, -processed-gene-10.45-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-10.45&CDS=1-1680, -processed-gene-10.48-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-10.48&CDS=1-1746, -processed-gene-12.93-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-12.93&CDS=1-1728, -processed-gene-2.109-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-2.109&CDS=1-1737, -processed-gene-4.40-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-4.40&CDS=1-1701, -processed-gene-5.141-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-5.141&CDS=1-1761	YCL025C, YDR508C, YKR039W
OG0000004	-processed-gene-12.87-mRNA-1_1&gene=genemark-gi|1002316126|dbj|BCGK01000004.1|-processed-gene-12.87&CDS=1-1704, -processed-gene-6.151-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.151&CDS=1-1665, -processed-gene-8.109-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-8.109&CDS=1-1701	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000005	-augustus-gene-15.179-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-augustus-gene-15.179&CDS=1-8661	YAL063C, YAL064C-A, YAR050W, YDR134C, YHR211W, YHR213W, YKR102W, YLR110C
OG0000006	-augustus-gene-14.55-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-augustus-gene-14.55&CDS=1-3564, -processed-gene-0.208-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.208&CDS=1-1536, -processed-gene-1.67-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-1.67&CDS=1-1503, -processed-gene-13.58-mRNA-1_1&gene=genemark-gi|1002316127|dbj|BCGK01000003.1|-processed-gene-13.58&CDS=1-1932	YMR169C, YMR170C, YOR374W, YPL109C
OG0000007	-augustus-gene-0.5-mRNA-1_1&gene=maker-gi|1002316124|dbj|BCGK01000006.1|-augustus-gene-0.5&CDS=1-3429, -processed-gene-0.254-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.254&CDS=1-1692, -processed-gene-18.100-mRNA-1_1&gene=genemark-gi|1002316129|dbj|BCGK01000001.1|-processed-gene-18.100&CDS=1-1698, -processed-gene-3.112-mRNA-1_1&gene=snap_masked-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-3.112&CDS=1-2301	YDR034C, YLR237W, YOR071C, YOR192C
OG0000008	-processed-gene-0.59-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-0.59&CDS=1-1179, -processed-gene-14.161-mRNA-1_1&gene=genemark-gi|1002316128|dbj|BCGK01000002.1|-processed-gene-14.161&CDS=1-3705, -processed-gene-3.134-mRNA-1_1&gene=genemark-gi|1002316124|dbj|BCGK01000006.1|-processed-gene-3.134&CDS=1-1761	YCL069W, YDL035C, YGR224W, YKR105C, YPR198W
OG0000009	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002316125|dbj|BCGK01000005.1|-processed-gene-0.10&CDS=1-4593, -processed-gene-0.239-mRNA-1_1&gene=genemark-gi|1002316121|dbj|BCGK01000009.1|-processed-gene-0.239&CDS=1-675, -processed-gene-0.79-mRNA-1_1&gene=genemark-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-0.79&CDS=1-3090, -processed-gene-6.57-mRNA-1_1&gene=snap_masked-gi|1002316122|dbj|BCGK01000008.1|-processed-gene-6.57&CDS=1-807, -snap-gene-0.0-mRNA-1_1&gene=maker-gi|1002316129|dbj|BCGK01000001.1|-snap-gene-0.0&CDS=1-3870, -snap-gene-0.146-mRNA-1_1&gene=maker-gi|1002316124|dbj|BCGK01000006.1|-snap-gene-0.146&CDS=1-2349, -snap-gene-5.105-mRNA-1_1&gene=maker-gi|1002316127|dbj|BCGK01000003.1|-snap-gene-5.105&CDS=1-2718	
