"locus_tag"	"SNP_NUM"	"nsSNP"	"nsSNP_unique"
"YAL068C"	0	"NA"	NA
"YAL067W-A"	409	"409"	1
"YAL067C"	9554	"4512"	12
"YAL065C"	2537	"1543"	6
"YAL064W-B"	128	"0"	0
"YAL064C-A"	692	"490"	5
"YAL064W"	802	"671"	6
"YAL063C-A"	352	"279"	3
"YAL063C"	1763	"874"	1
"YAL062W"	10614	"258"	1
"YAL061W"	8764	"2675"	7
"YAL060W"	13225	"3220"	6
"YAL059W"	5995	"2601"	5
"YAL058W"	13612	"7511"	15
"YAL056W"	17207	"5121"	9
"YAL055W"	7208	"2593"	6
"YAL054C"	9978	"1673"	2
"YAL053W"	15465	"1337"	2
"YAL051W"	25908	"4394"	14
"YAL049C"	2785	"640"	3
"YAL048C"	20662	"1247"	2
"YAL047C"	14894	"4980"	11
"YAL046C"	1794	"121"	0
"YAL044W-A"	1044	"692"	1
"YAL044C"	1195	"81"	0
"YAL043C"	15147	"3552"	4
"YAL042W"	4624	"1523"	3
"YAL041W"	6637	"835"	8
"YAL040C"	9569	"2562"	9
"YAL039C"	2278	"632"	2
"YAL038W"	820	"133"	0
"YAL037C-A"	606	"562"	3
"YAL037W"	2800	"1674"	11
"YAL036C"	2783	"80"	1
"YAL035W"	9322	"4293"	9
"YAL034W-A"	1858	"682"	5
"YAL034C"	2583	"660"	1
"YAL033W"	467	"91"	0
"YAL032C"	3095	"1883"	7
"YAL031C"	6038	"2613"	8
"YAL030W"	1126	"25"	0
"YAL029C"	23864	"9010"	17
"YAL028W"	6141	"3319"	8
"YAL027W"	5619	"1369"	5
"YAL026C"	6530	"2245"	6
"YAL025C"	767	"73"	0
"YAL024C"	9402	"2903"	12
"YAL023C"	4395	"402"	3
"YAL022C"	4882	"681"	2
"YAL021C"	9988	"3719"	7
"YAL020C"	4188	"1922"	7
"YAL019W"	10002	"2494"	7
"YAL018C"	4373	"924"	2
"YAL017W"	9369	"3123"	9
"YAL016W"	3924	"305"	0
"YAL015C"	3017	"718"	3
"YAL014C"	2520	"1306"	8
"YAL013W"	5380	"2805"	6
"YAL012W"	3224	"111"	0
"YAL011W"	13086	"4160"	10
"YAL010C"	8688	"4405"	9
"YAL009W"	4146	"1548"	2
"YAL008W"	5301	"1802"	4
"YAL007C"	601	"335"	2
"YAL005C"	3734	"1020"	1
"YAL003W"	1394	"12"	0
"YAL002W"	8141	"4859"	10
"YAL001C"	11758	"3929"	9
"YAR002W"	7902	"4583"	10
"YAR002C-A"	1292	"40"	0
"YAR003W"	1931	"307"	2
"YAR007C"	10431	"1021"	3
"YAR008W"	2670	"1125"	2
"YAR014C"	5739	"2227"	7
"YAR015W"	5436	"102"	0
"YAR018C"	2292	"228"	2
