	Candida_arabinofermentans	Saccharomyces_cerevisiae
OG0000000	augustus_masked-scaffold_13-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-0.83&CDS=1-924, augustus_masked-scaffold_19-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-1.159&CDS=1-2211, augustus_masked-scaffold_36-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_36-processed-gene-0.1&CDS=1-1503, augustus_masked-scaffold_43-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_43-processed-gene-0.0&CDS=1-1125, augustus_masked-scaffold_5-processed-gene-8.318-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.318&CDS=1-408, augustus_masked-scaffold_59-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_59-processed-gene-0.1&CDS=1-1257, genemark-scaffold_18-processed-gene-1.130-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.130&CDS=1-1266, genemark-scaffold_5-processed-gene-5.60-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.60&CDS=1-570, maker-scaffold_36-augustus-gene-0.14-mRNA-1_1&gene=maker-scaffold_36-augustus-gene-0.14&CDS=1-537, maker-scaffold_4-snap-gene-9.66-mRNA-1_1&gene=maker-scaffold_4-snap-gene-9.66&CDS=1-822, maker-scaffold_4-snap-gene-9.76-mRNA-1_1&gene=maker-scaffold_4-snap-gene-9.76&CDS=1-798, snap_masked-scaffold_25-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scaffold_25-processed-gene-0.89&CDS=1-378, snap_masked-scaffold_29-processed-gene-0.124-mRNA-1_1&gene=snap_masked-scaffold_29-processed-gene-0.124&CDS=1-315, snap_masked-scaffold_32-processed-gene-0.97-mRNA-1_1&gene=snap_masked-scaffold_32-processed-gene-0.97&CDS=1-267, snap_masked-scaffold_44-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scaffold_44-processed-gene-0.3&CDS=1-321	YCL075W, YOR080W
OG0000001	augustus_masked-scaffold_1-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.88&CDS=1-2676, augustus_masked-scaffold_12-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-1.65&CDS=1-3681, augustus_masked-scaffold_14-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-1.54&CDS=1-1731, augustus_masked-scaffold_21-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scaffold_21-processed-gene-0.27&CDS=1-2073, augustus_masked-scaffold_26-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.118&CDS=1-1734, augustus_masked-scaffold_3-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.6&CDS=1-1122, augustus_masked-scaffold_4-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.60&CDS=1-2292, augustus_masked-scaffold_4-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.20&CDS=1-1653, augustus_masked-scaffold_7-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.12&CDS=1-1401, genemark-scaffold_1-processed-gene-14.127-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.127&CDS=1-1893, genemark-scaffold_9-processed-gene-3.32-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.32&CDS=1-5658, maker-scaffold_12-snap-gene-2.161-mRNA-1_1&gene=maker-scaffold_12-snap-gene-2.161&CDS=1-2715	YBR240C, YDR207C
OG0000002	augustus_masked-scaffold_13-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-2.42&CDS=1-4461, augustus_masked-scaffold_2-processed-gene-9.36-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.36&CDS=1-4488, augustus_masked-scaffold_5-processed-gene-8.271-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.271&CDS=1-3954, genemark-scaffold_10-processed-gene-3.192-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.192&CDS=1-4587, genemark-scaffold_14-processed-gene-2.26-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.26&CDS=1-4485, maker-scaffold_3-snap-gene-2.130-mRNA-1_1&gene=maker-scaffold_3-snap-gene-2.130&CDS=1-9030, maker-scaffold_6-augustus-gene-6.49-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.49&CDS=1-13461	YDR011W, YDR406W, YHR165C, YOR153W, YOR328W, YPL058C
OG0000003	augustus_masked-scaffold_2-processed-gene-10.104-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.104&CDS=1-2880, augustus_masked-scaffold_3-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.99&CDS=1-3048, augustus_masked-scaffold_3-processed-gene-9.250-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.250&CDS=1-1272, genemark-scaffold_15-processed-gene-1.60-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.60&CDS=1-2784, maker-scaffold_1-augustus-gene-0.38-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.38&CDS=1-3909, maker-scaffold_1-snap-gene-0.42-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.42&CDS=1-4002, maker-scaffold_8-augustus-gene-1.88-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-1.88&CDS=1-2910, snap_masked-scaffold_2-processed-gene-10.70-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-10.70&CDS=1-2907	YKR064W, YMR168C
OG0000004	augustus_masked-scaffold_11-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.53&CDS=1-2313, augustus_masked-scaffold_14-processed-gene-2.131-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-2.131&CDS=1-2106, augustus_masked-scaffold_15-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-1.139&CDS=1-2325, augustus_masked-scaffold_2-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.22&CDS=1-1767, augustus_masked-scaffold_9-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-2.3&CDS=1-2085, genemark-scaffold_11-processed-gene-2.182-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-2.182&CDS=1-2184, maker-scaffold_13-snap-gene-1.182-mRNA-1_1&gene=maker-scaffold_13-snap-gene-1.182&CDS=1-3363, maker-scaffold_24-augustus-gene-0.77-mRNA-1_1&gene=maker-scaffold_24-augustus-gene-0.77&CDS=1-2421	YBR015C
OG0000005	augustus_masked-scaffold_1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.59&CDS=1-1551, augustus_masked-scaffold_15-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-2.50&CDS=1-1563, augustus_masked-scaffold_2-processed-gene-8.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.58&CDS=1-1506, augustus_masked-scaffold_27-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-scaffold_27-processed-gene-0.52&CDS=1-1473, snap_masked-scaffold_4-processed-gene-4.70-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.70&CDS=1-3657	YMR169C, YMR170C, YOR374W
OG0000006	augustus_masked-scaffold_1-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.91&CDS=1-1926, augustus_masked-scaffold_27-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scaffold_27-processed-gene-0.57&CDS=1-2013, augustus_masked-scaffold_6-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.13&CDS=1-1926, augustus_masked-scaffold_6-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.17&CDS=1-2667	YDL229W, YJL034W, YLL024C, YNL209W
OG0000007	augustus_masked-scaffold_1-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.87&CDS=1-5634, augustus_masked-scaffold_2-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.22&CDS=1-3456, augustus_masked-scaffold_7-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.32&CDS=1-4665, genemark-scaffold_7-processed-gene-2.111-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.111&CDS=1-3627	YDR326C, YFL042C, YHR080C, YLR072W
OG0000008	augustus_masked-scaffold_1-processed-gene-14.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.33&CDS=1-2301, augustus_masked-scaffold_14-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-0.79&CDS=1-3087, augustus_masked-scaffold_4-processed-gene-9.146-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.146&CDS=1-2949, genemark-scaffold_3-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.84&CDS=1-2730	YER013W, YGL120C, YKR086W, YNR011C
OG0000009	augustus_masked-scaffold_10-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.39&CDS=1-1389, augustus_masked-scaffold_10-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.40&CDS=1-1425, augustus_masked-scaffold_4-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.27&CDS=1-1542, maker-scaffold_4-snap-gene-5.87-mRNA-1_1&gene=maker-scaffold_4-snap-gene-5.87&CDS=1-2946, maker-scaffold_7-snap-gene-4.75-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.75&CDS=1-7719, maker-scaffold_7-snap-gene-4.78-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.78&CDS=1-3111	YOL119C, YOR306C
