	Saccharomyces_cerevisiae	yHMPu5000034758_Lipomyces_japonicus
OG0000000	YBR240C, YDR034C, YDR207C, YDR213W, YLR228C, YML099C	augustus_masked-flattened_line_125-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_125-processed-gene-0.13&CDS=1-891, augustus_masked-flattened_line_43-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.52&CDS=1-2154, genemark-flattened_line_111-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_111-processed-gene-0.74&CDS=1-1032, genemark-flattened_line_129-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_129-processed-gene-0.49&CDS=1-2061, genemark-flattened_line_159-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.54&CDS=1-1437, genemark-flattened_line_43-processed-gene-0.209-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.209&CDS=1-1923, snap_masked-flattened_line_105-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.63&CDS=1-915, snap_masked-flattened_line_105-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.64&CDS=1-1038, snap_masked-flattened_line_198-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_198-processed-gene-0.41&CDS=1-849, snap_masked-flattened_line_37-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.63&CDS=1-1791
OG0000001	YBL042C, YBR021W, YIR028W	genemark-flattened_line_0-processed-gene-3.88-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.88&CDS=1-1668, genemark-flattened_line_13-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.0&CDS=1-1674, genemark-flattened_line_196-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_196-processed-gene-0.29&CDS=1-1647, genemark-flattened_line_43-processed-gene-0.202-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.202&CDS=1-1647, genemark-flattened_line_5-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.134&CDS=1-1668, genemark-flattened_line_5-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.157&CDS=1-1686, genemark-flattened_line_79-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_79-processed-gene-0.81&CDS=1-1680
OG0000002	YKL209C	genemark-flattened_line_125-processed-gene-0.143-mRNA-1_1&gene=genemark-flattened_line_125-processed-gene-0.143&CDS=1-4116, genemark-flattened_line_178-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_178-processed-gene-0.50&CDS=1-3975, genemark-flattened_line_196-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_196-processed-gene-0.32&CDS=1-3930, genemark-flattened_line_200-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_200-processed-gene-0.21&CDS=1-3945, genemark-flattened_line_27-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.76&CDS=1-4047, genemark-flattened_line_27-processed-gene-1.81-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.81&CDS=1-4107, maker-flattened_line_119-augustus-gene-0.134-mRNA-1_1&gene=maker-flattened_line_119-augustus-gene-0.134&CDS=1-4020, maker-flattened_line_27-augustus-gene-1.156-mRNA-1_1&gene=maker-flattened_line_27-augustus-gene-1.156&CDS=1-4047, maker-flattened_line_5-snap-gene-2.174-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-2.174&CDS=1-9030
OG0000003	YCR102C, YLR460C, YMR152W, YNL134C	augustus_masked-flattened_line_0-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.142&CDS=1-1032, genemark-flattened_line_57-processed-gene-0.203-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.203&CDS=1-1050, genemark-flattened_line_83-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.17&CDS=1-1026, maker-flattened_line_75-augustus-gene-0.43-mRNA-1_1&gene=maker-flattened_line_75-augustus-gene-0.43&CDS=1-1140, snap_masked-flattened_line_123-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_123-processed-gene-0.109&CDS=1-1026
OG0000004	YIL166C	augustus_masked-flattened_line_43-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_43-processed-gene-0.19&CDS=1-1446, genemark-flattened_line_161-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_161-processed-gene-0.59&CDS=1-1743, genemark-flattened_line_67-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.39&CDS=1-1743, genemark-flattened_line_87-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_87-processed-gene-0.130&CDS=1-1854, maker-flattened_line_135-snap-gene-0.101-mRNA-1_1&gene=maker-flattened_line_135-snap-gene-0.101&CDS=1-1731, maker-flattened_line_280-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_280-snap-gene-0.4&CDS=1-1704, maker-flattened_line_33-snap-gene-0.241-mRNA-1_1&gene=maker-flattened_line_33-snap-gene-0.241&CDS=1-3465, maker-flattened_line_87-snap-gene-0.68-mRNA-1_1&gene=maker-flattened_line_87-snap-gene-0.68&CDS=1-3510
OG0000005	YDR081C	genemark-flattened_line_198-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_198-processed-gene-0.47&CDS=1-1956, genemark-flattened_line_232-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_232-processed-gene-0.17&CDS=1-1326, maker-flattened_line_332-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_332-snap-gene-0.4&CDS=1-720, maker-flattened_line_53-snap-gene-0.66-mRNA-1_1&gene=maker-flattened_line_53-snap-gene-0.66&CDS=1-1263, maker-flattened_line_89-snap-gene-0.55-mRNA-1_1&gene=maker-flattened_line_89-snap-gene-0.55&CDS=1-1185, maker-flattened_line_9-snap-gene-1.200-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-1.200&CDS=1-648, snap_masked-flattened_line_222-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_222-processed-gene-0.18&CDS=1-372
OG0000006	YFL040W	augustus_masked-flattened_line_2-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.11&CDS=1-1557, genemark-flattened_line_123-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_123-processed-gene-0.38&CDS=1-1596, genemark-flattened_line_198-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_198-processed-gene-0.45&CDS=1-1572, genemark-flattened_line_2-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.64&CDS=1-1566, genemark-flattened_line_23-processed-gene-1.182-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.182&CDS=1-1536, genemark-flattened_line_5-processed-gene-0.159-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-0.159&CDS=1-1509, maker-flattened_line_9-snap-gene-1.203-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-1.203&CDS=1-3297
OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-flattened_line_13-processed-gene-1.64-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.64&CDS=1-1896, maker-flattened_line_13-augustus-gene-1.294-mRNA-1_1&gene=maker-flattened_line_13-augustus-gene-1.294&CDS=1-2001, maker-flattened_line_21-snap-gene-1.166-mRNA-1_1&gene=maker-flattened_line_21-snap-gene-1.166&CDS=1-933
OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_2-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.70&CDS=1-1353, maker-flattened_line_27-augustus-gene-1.155-mRNA-1_1&gene=maker-flattened_line_27-augustus-gene-1.155&CDS=1-1758
OG0000009	YBR298C, YDL247W, YGR289C, YJR160C	genemark-flattened_line_107-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_107-processed-gene-0.123&CDS=1-1659, genemark-flattened_line_159-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_159-processed-gene-0.52&CDS=1-1641
