	Hanseniaspora_valbyensis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-scaffold_4-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.93&CDS=1-1743, augustus_masked-scaffold_8-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.23&CDS=1-1746, genemark-scaffold_12-processed-gene-2.136-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-2.136&CDS=1-1716, maker-scaffold_12-snap-gene-2.61-mRNA-1_1&gene=maker-scaffold_12-snap-gene-2.61&CDS=1-3396	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YIL170W, YJL219W, YLR081W, YOL156W
OG0000001	augustus_masked-scaffold_19-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.105&CDS=1-1053, augustus_masked-scaffold_19-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.107&CDS=1-1038, augustus_masked-scaffold_19-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.108&CDS=1-1038, augustus_masked-scaffold_19-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.109&CDS=1-1035, genemark-scaffold_202-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_202-processed-gene-0.2&CDS=1-1035, snap_masked-scaffold_19-processed-gene-0.172-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-0.172&CDS=1-1008	YDR541C, YGL039W, YGL157W, YOL151W
OG0000002	augustus_masked-scaffold_122-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scaffold_122-processed-gene-0.3&CDS=1-2016, augustus_masked-scaffold_325-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_325-processed-gene-0.4&CDS=1-798, augustus_masked-scaffold_494-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scaffold_494-processed-gene-0.1&CDS=1-2214, genemark-scaffold_415-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_415-processed-gene-0.2&CDS=1-2532, maker-scaffold_1-snap-gene-7.40-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.40&CDS=1-1833, maker-scaffold_1-snap-gene-7.41-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.41&CDS=1-3327, maker-scaffold_122-snap-gene-0.7-mRNA-1_1&gene=maker-scaffold_122-snap-gene-0.7&CDS=1-1986	YAL051W, YOR363C
OG0000003	augustus_masked-scaffold_114-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scaffold_114-processed-gene-0.7&CDS=1-441, augustus_masked-scaffold_513-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_513-processed-gene-0.0&CDS=1-1719, genemark-scaffold_18-processed-gene-0.39-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.39&CDS=1-1737, genemark-scaffold_206-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_206-processed-gene-0.6&CDS=1-1740, maker-scaffold_17-snap-gene-0.5-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.5&CDS=1-7485, maker-scaffold_206-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_206-snap-gene-0.0&CDS=1-882, maker-scaffold_431-augustus-gene-0.3-mRNA-1_1&gene=maker-scaffold_431-augustus-gene-0.3&CDS=1-1614, snap_masked-scaffold_417-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scaffold_417-processed-gene-0.0&CDS=1-1725	YCR098C
OG0000004	augustus_masked-scaffold_16-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-0.95&CDS=1-4062, augustus_masked-scaffold_17-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-0.159&CDS=1-10323, augustus_masked-scaffold_374-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_374-processed-gene-0.0&CDS=1-2784, augustus_masked-scaffold_5-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.83&CDS=1-4188, augustus_masked-scaffold_72-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scaffold_72-processed-gene-0.12&CDS=1-2709, genemark-scaffold_16-processed-gene-0.70-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.70&CDS=1-4125, maker-scaffold_5-augustus-gene-3.87-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.87&CDS=1-4485	YDR457W
OG0000005	genemark-scaffold_18-processed-gene-0.37-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.37&CDS=1-2175, maker-scaffold_4-snap-gene-1.45-mRNA-1_1&gene=maker-scaffold_4-snap-gene-1.45&CDS=1-4302, snap_masked-scaffold_4-processed-gene-1.77-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.77&CDS=1-2178	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000006	augustus_masked-scaffold_14-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-1.3&CDS=1-2235, augustus_masked-scaffold_214-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scaffold_214-processed-gene-0.9&CDS=1-816, augustus_masked-scaffold_278-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_278-processed-gene-0.2&CDS=1-300, genemark-scaffold_268-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_268-processed-gene-0.2&CDS=1-315, genemark-scaffold_268-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_268-processed-gene-0.3&CDS=1-2295	YJR059W, YKL198C
OG0000007	augustus_masked-scaffold_640-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_640-processed-gene-0.2&CDS=1-1395, snap_masked-scaffold_3-processed-gene-2.50-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.50&CDS=1-1422	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000008	augustus_masked-scaffold_1-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.6&CDS=1-1776, augustus_masked-scaffold_6-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.63&CDS=1-1749, genemark-scaffold_253-processed-gene-0.4-mRNA-1_1&gene=genemark-scaffold_253-processed-gene-0.4&CDS=1-1776, snap_masked-scaffold_1-processed-gene-6.2-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.2&CDS=1-1746, snap_masked-scaffold_2-processed-gene-4.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.28&CDS=1-1755	YDL210W
OG0000009	genemark-scaffold_100-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_100-processed-gene-0.2&CDS=1-2337, snap_masked-scaffold_5-processed-gene-2.24-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.24&CDS=1-1062	YER066W, YFL009W, YKR036C, YPL151C
