	Ascoidea_rubescens	Saccharomyces_cerevisiae
OG0000000	augustus_masked-scaffold_11-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-4.108&CDS=1-612, augustus_masked-scaffold_14-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-3.93&CDS=1-1254, augustus_masked-scaffold_2-processed-gene-12.39-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.39&CDS=1-900, augustus_masked-scaffold_6-processed-gene-9.14-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-9.14&CDS=1-1986, genemark-scaffold_1-processed-gene-7.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.98&CDS=1-198, genemark-scaffold_3-processed-gene-0.48-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.48&CDS=1-4548, genemark-scaffold_4-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.84&CDS=1-327, genemark-scaffold_5-processed-gene-8.88-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.88&CDS=1-471, genemark-scaffold_6-processed-gene-4.88-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.88&CDS=1-312, maker-scaffold_10-augustus-gene-3.39-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.39&CDS=1-336, maker-scaffold_18-snap-gene-1.72-mRNA-1_1&gene=maker-scaffold_18-snap-gene-1.72&CDS=1-1107, maker-scaffold_5-augustus-gene-3.82-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.82&CDS=1-231, maker-scaffold_5-snap-gene-3.43-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.43&CDS=1-279, maker-scaffold_8-snap-gene-4.36-mRNA-1_1&gene=maker-scaffold_8-snap-gene-4.36&CDS=1-1887, maker-scaffold_9-snap-gene-0.63-mRNA-1_1&gene=maker-scaffold_9-snap-gene-0.63&CDS=1-987, snap_masked-scaffold_8-processed-gene-8.69-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-8.69&CDS=1-204	YGL151W, YLR312W-A, YMR258C
OG0000001	snap_masked-scaffold_1-processed-gene-29.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.37&CDS=1-1698	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
OG0000002	augustus_masked-scaffold_3-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.27&CDS=1-2838, augustus_masked-scaffold_7-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.39&CDS=1-4881, genemark-scaffold_19-processed-gene-1.31-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-1.31&CDS=1-5481, genemark-scaffold_7-processed-gene-5.27-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.27&CDS=1-4713, genemark-scaffold_7-processed-gene-5.28-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.28&CDS=1-3501, genemark-scaffold_8-processed-gene-7.37-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.37&CDS=1-3492, maker-scaffold_19-snap-gene-1.77-mRNA-1_1&gene=maker-scaffold_19-snap-gene-1.77&CDS=1-3900, snap_masked-scaffold_4-processed-gene-4.1-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.1&CDS=1-2697	YBR150C, YCR036W, YOL089C
OG0000003	augustus_masked-scaffold_2-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.52&CDS=1-2178, genemark-scaffold_1-processed-gene-10.111-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.111&CDS=1-1566, genemark-scaffold_15-processed-gene-3.35-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-3.35&CDS=1-1497, genemark-scaffold_2-processed-gene-7.95-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.95&CDS=1-1515, genemark-scaffold_7-processed-gene-3.51-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.51&CDS=1-1548	YER073W, YMR169C, YMR170C
OG0000004	augustus_masked-scaffold_26-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_26-processed-gene-0.24&CDS=1-2502, genemark-scaffold_13-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.22&CDS=1-1518, genemark-scaffold_7-processed-gene-0.72-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.72&CDS=1-1596, genemark-scaffold_9-processed-gene-0.88-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.88&CDS=1-1515, maker-scaffold_1-snap-gene-12.2-mRNA-1_1&gene=maker-scaffold_1-snap-gene-12.2&CDS=1-1578	YER056C, YER060W, YER060W-A
OG0000005	augustus_masked-scaffold_18-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-1.43&CDS=1-6618, genemark-scaffold_10-processed-gene-4.93-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-4.93&CDS=1-6315, genemark-scaffold_11-processed-gene-3.50-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.50&CDS=1-3114, genemark-scaffold_6-processed-gene-9.101-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-9.101&CDS=1-4194, snap_masked-scaffold_19-processed-gene-1.196-mRNA-1_1&gene=snap_masked-scaffold_19-processed-gene-1.196&CDS=1-3783	YHR196W, YJL076W, YKR010C
OG0000006	augustus_masked-scaffold_4-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.57&CDS=1-3474, augustus_masked-scaffold_4-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.93&CDS=1-3342, augustus_masked-scaffold_5-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.51&CDS=1-351, genemark-scaffold_24-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_24-processed-gene-0.15&CDS=1-6108, maker-scaffold_24-snap-gene-0.74-mRNA-1_1&gene=maker-scaffold_24-snap-gene-0.74&CDS=1-828, maker-scaffold_3-augustus-gene-0.84-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-0.84&CDS=1-2142, maker-scaffold_5-augustus-gene-3.83-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-3.83&CDS=1-774	YPL128C
OG0000007	augustus_masked-scaffold_1-processed-gene-13.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.12&CDS=1-2109, genemark-scaffold_4-processed-gene-5.61-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.61&CDS=1-2484, genemark-scaffold_5-processed-gene-9.148-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.148&CDS=1-2313, snap_masked-scaffold_5-processed-gene-4.39-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.39&CDS=1-2355	YML111W, YMR275C, YNR069C
OG0000008	augustus_masked-scaffold_8-processed-gene-8.94-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-8.94&CDS=1-1434, genemark-scaffold_14-processed-gene-1.63-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-1.63&CDS=1-1599, genemark-scaffold_16-processed-gene-2.172-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.172&CDS=1-1476, genemark-scaffold_2-processed-gene-12.8-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.8&CDS=1-1500	YGR177C, YGR212W, YOR377W
OG0000009	augustus_masked-scaffold_18-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.42&CDS=1-3414, genemark-scaffold_1-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.107&CDS=1-2418, genemark-scaffold_5-processed-gene-6.59-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.59&CDS=1-3678, snap_masked-scaffold_8-processed-gene-6.25-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-6.25&CDS=1-4095	YLR144C, YNR067C
