	Ashbya_aceri	Saccharomyces_cerevisiae
OG0000000	augustus_masked-CP006022.1-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-3.35&CDS=1-1566, maker-CP006026.1-snap-gene-14.95-mRNA-1_1&gene=maker-CP006026.1-snap-gene-14.95&CDS=1-4782	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W
OG0000001	augustus_masked-CP006025.1-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-2.126&CDS=1-2691, augustus_masked-CP006026.1-processed-gene-14.51-mRNA-1_1&gene=augustus_masked-CP006026.1-processed-gene-14.51&CDS=1-4173, augustus_masked-CP006026.1-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-CP006026.1-processed-gene-7.145&CDS=1-5193, genemark-CP006022.1-processed-gene-1.52-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-1.52&CDS=1-1815, genemark-CP006023.1-processed-gene-9.127-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-9.127&CDS=1-1749, genemark-CP006024.1-processed-gene-5.58-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-5.58&CDS=1-3195, genemark-CP006025.1-processed-gene-10.91-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.91&CDS=1-1815	YCL025C, YDR508C, YGR191W, YKR039W, YLL061W, YOL020W, YPL274W
OG0000002	augustus_masked-CP006021.1-processed-gene-9.177-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-9.177&CDS=1-321, augustus_masked-CP006025.1-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-0.131&CDS=1-414, genemark-CP006020.1-processed-gene-0.85-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-0.85&CDS=1-516, genemark-CP006020.1-processed-gene-1.94-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-1.94&CDS=1-507, genemark-CP006020.1-processed-gene-7.100-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.100&CDS=1-441, genemark-CP006021.1-processed-gene-0.20-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.20&CDS=1-516, genemark-CP006022.1-processed-gene-5.100-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-5.100&CDS=1-513, genemark-CP006022.1-processed-gene-5.99-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-5.99&CDS=1-516, genemark-CP006026.1-processed-gene-0.45-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-0.45&CDS=1-516, maker-CP006021.1-snap-gene-0.122-mRNA-1_1&gene=maker-CP006021.1-snap-gene-0.122&CDS=1-291, maker-CP006023.1-snap-gene-0.2-mRNA-1_1&gene=maker-CP006023.1-snap-gene-0.2&CDS=1-498, maker-CP006026.1-snap-gene-0.0-mRNA-1_1&gene=maker-CP006026.1-snap-gene-0.0&CDS=1-540	YBR072W
OG0000003	genemark-CP006021.1-processed-gene-0.35-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.35&CDS=1-1839, genemark-CP006022.1-processed-gene-10.118-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-10.118&CDS=1-2037, genemark-CP006022.1-processed-gene-3.86-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.86&CDS=1-1908, genemark-CP006024.1-processed-gene-9.66-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-9.66&CDS=1-1947, maker-CP006022.1-augustus-gene-7.3-mRNA-1_1&gene=maker-CP006022.1-augustus-gene-7.3&CDS=1-2205, maker-CP006025.1-augustus-gene-8.50-mRNA-1_1&gene=maker-CP006025.1-augustus-gene-8.50&CDS=1-2745	YER103W, YJL034W, YJR045C, YLR369W, YNL209W
OG0000004	augustus_masked-CP006020.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-0.8&CDS=1-1362, augustus_masked-CP006025.1-processed-gene-12.254-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-12.254&CDS=1-642, augustus_masked-CP006026.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-CP006026.1-processed-gene-0.2&CDS=1-1656, augustus_masked-CP006026.1-processed-gene-14.94-mRNA-1_1&gene=augustus_masked-CP006026.1-processed-gene-14.94&CDS=1-1362, snap_masked-CP006020.1-processed-gene-6.54-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-6.54&CDS=1-2331, snap_masked-CP006020.1-processed-gene-7.76-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-7.76&CDS=1-1707, snap_masked-CP006022.1-processed-gene-13.333-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-13.333&CDS=1-1938, snap_masked-CP006023.1-processed-gene-5.49-mRNA-1_1&gene=snap_masked-CP006023.1-processed-gene-5.49&CDS=1-1752	YIL014W
OG0000005	augustus_masked-CP006020.1-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-4.115&CDS=1-4812, augustus_masked-CP006024.1-processed-gene-12.127-mRNA-1_1&gene=augustus_masked-CP006024.1-processed-gene-12.127&CDS=1-3933, genemark-CP006020.1-processed-gene-6.103-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.103&CDS=1-2298, genemark-CP006024.1-processed-gene-13.87-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-13.87&CDS=1-2595	YER013W, YGL120C, YKR086W, YNR011C
OG0000006	augustus_masked-CP006023.1-processed-gene-9.290-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-9.290&CDS=1-3384, snap_masked-CP006021.1-processed-gene-7.36-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-7.36&CDS=1-2151	YJR004C, YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000007	augustus_masked-CP006020.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-0.11&CDS=1-2655, augustus_masked-CP006025.1-processed-gene-12.216-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-12.216&CDS=1-1959, genemark-CP006021.1-processed-gene-7.58-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-7.58&CDS=1-2391, genemark-CP006025.1-processed-gene-11.17-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-11.17&CDS=1-2625, maker-CP006026.1-snap-gene-6.1-mRNA-1_1&gene=maker-CP006026.1-snap-gene-6.1&CDS=1-7740	YJL212C, YPR194C
OG0000008	genemark-CP006021.1-processed-gene-0.19-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-0.19&CDS=1-462, genemark-CP006021.1-processed-gene-4.95-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.95&CDS=1-462, genemark-CP006024.1-processed-gene-14.105-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-14.105&CDS=1-447, genemark-CP006024.1-processed-gene-14.80-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-14.80&CDS=1-456, genemark-CP006026.1-processed-gene-0.46-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-0.46&CDS=1-462, maker-CP006021.1-snap-gene-4.110-mRNA-1_1&gene=maker-CP006021.1-snap-gene-4.110&CDS=1-699	YKL096W
OG0000009	genemark-CP006021.1-processed-gene-6.26-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-6.26&CDS=1-4422, genemark-CP006021.1-processed-gene-6.4-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-6.4&CDS=1-4476, snap_masked-CP006026.1-processed-gene-4.99-mRNA-1_1&gene=snap_masked-CP006026.1-processed-gene-4.99&CDS=1-4383	YDR011W, YDR406W, YOR153W, YOR328W
OG0000010	genemark-CP006023.1-processed-gene-0.106-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.106&CDS=1-1167, genemark-CP006024.1-processed-gene-14.93-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-14.93&CDS=1-1236, genemark-CP006026.1-processed-gene-1.87-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-1.87&CDS=1-1299	YDR483W, YJL139C, YKR061W, YOR099W
OG0000011	augustus_masked-CP006023.1-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-5.146&CDS=1-600	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C
OG0000012	genemark-CP006021.1-processed-gene-6.15-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-6.15&CDS=1-7887, genemark-CP006021.1-processed-gene-6.16-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-6.16&CDS=1-1629, maker-CP006021.1-augustus-gene-6.105-mRNA-1_1&gene=maker-CP006021.1-augustus-gene-6.105&CDS=1-5214	YCR093W, YKL215C, YLL055W
