,OG,conservation_score
0,YAL001C_aa_aligned.fasta,0.6808345
1,YAL002W_aa_aligned.fasta,0.749385
2,YAL003W_aa_aligned.fasta,0.57011
3,YAL004W_aa_aligned.fasta,0.834527
4,YAL005C_aa_aligned.fasta,0.830786
5,YAL007C_aa_aligned.fasta,0.834997
6,YAL008W_aa_aligned.fasta,0.803026
7,YAL009W_aa_aligned.fasta,0.841567
8,YAL010C_aa_aligned.fasta,0.74569
9,YAL011W_aa_aligned.fasta,0.823108
10,YAL012W_aa_aligned.fasta,0.8349044999999999
11,YAL013W_aa_aligned.fasta,0.833728
12,YAL014C_aa_aligned.fasta,0.740069
13,YAL015C_aa_aligned.fasta,0.732357
14,YAL016W_aa_aligned.fasta,0.735139
15,YAL017W_aa_aligned.fasta,0.7397935
16,YAL018C_aa_aligned.fasta,0.838758
17,YAL019W_aa_aligned.fasta,0.833468
18,YAL020C_aa_aligned.fasta,0.835872
19,YAL021C_aa_aligned.fasta,0.844199
20,YAL022C_aa_aligned.fasta,0.837316
21,YAL023C_aa_aligned.fasta,0.844008
22,YAL024C_aa_aligned.fasta,0.840522
23,YAL025C_aa_aligned.fasta,0.842743
24,YAL026C_aa_aligned.fasta,0.678711
25,YAL027W_aa_aligned.fasta,0.829705
26,YAL028W_aa_aligned.fasta,0.8368070000000001
27,YAL029C_aa_aligned.fasta,0.838805
28,YAL030W_aa_aligned.fasta,0.719719
29,YAL031C_aa_aligned.fasta,0.8398749999999999
30,YAL032C_aa_aligned.fasta,0.839404
31,YAL033W_aa_aligned.fasta,0.83876
32,YAL034C_aa_aligned.fasta,0.779183
33,YAL035W_aa_aligned.fasta,0.751139
34,YAL036C_aa_aligned.fasta,0.803319
35,YAL037W_aa_aligned.fasta,0.760331
36,YAL038W_aa_aligned.fasta,0.8360955
37,YAL039C_aa_aligned.fasta,0.588671
38,YAL040C_aa_aligned.fasta,0.829616
39,YAL041W_aa_aligned.fasta,0.8420885
40,YAL042W_aa_aligned.fasta,0.736631
41,YAL043C_aa_aligned.fasta,0.837722
42,YAL044C_aa_aligned.fasta,0.8375815
43,YAL045C_aa_aligned.fasta,0.8351470000000001
44,YAL046C_aa_aligned.fasta,0.840775
45,YAL047C_aa_aligned.fasta,0.838259
46,YAL048C_aa_aligned.fasta,0.7101915
47,YAL049C_aa_aligned.fasta,0.8350394999999999
48,YAL051W_aa_aligned.fasta,0.784322
49,YAL053W_aa_aligned.fasta,0.751405
50,YAL054C_aa_aligned.fasta,0.837998
51,YAL055W_aa_aligned.fasta,0.8341865
52,YAL056W_aa_aligned.fasta,0.7596885
53,YAL058W_aa_aligned.fasta,0.838125
54,YAL059W_aa_aligned.fasta,0.724836
55,YAL060W_aa_aligned.fasta,0.8363255
56,YAL061W_aa_aligned.fasta,0.724539
57,YAL062W_aa_aligned.fasta,0.748595
58,YAL063C_aa_aligned.fasta,0.6339795
59,YAL064W_aa_aligned.fasta,0.6863790000000001
60,YAL065C_aa_aligned.fasta,0.6429925000000001
61,YAL066W_aa_aligned.fasta,0.7420249999999999
62,YAL067C_aa_aligned.fasta,0.627121
63,YAL068C_aa_aligned.fasta,0.6873145
64,YAL069W_aa_aligned.fasta,0.5794055
65,YAR002W_aa_aligned.fasta,0.839137
66,YAR003W_aa_aligned.fasta,0.841131
67,YAR007C_aa_aligned.fasta,0.771433
68,YAR008W_aa_aligned.fasta,0.834587
69,YAR014C_aa_aligned.fasta,0.840785
70,YAR015W_aa_aligned.fasta,0.8368385
71,YAR018C_aa_aligned.fasta,0.843615
72,YAR019C_aa_aligned.fasta,0.8392135000000001
73,YAR020C_aa_aligned.fasta,0.761248
74,YAR023C_aa_aligned.fasta,0.648922
75,YAR027W_aa_aligned.fasta,0.806471
76,YAR028W_aa_aligned.fasta,0.801696
77,YAR029W_aa_aligned.fasta,0.6303665
78,YAR030C_aa_aligned.fasta,0.672931
79,YAR031W_aa_aligned.fasta,0.637374
80,YAR033W_aa_aligned.fasta,0.680517
81,YAR035W_aa_aligned.fasta,0.813287
82,YAR042W_aa_aligned.fasta,0.660776
83,YAR047C_aa_aligned.fasta,0.7585425
84,YAR050W_aa_aligned.fasta,0.6366065000000001
85,YAR053W_aa_aligned.fasta,0.8288880000000001
86,YAR060C_aa_aligned.fasta,0.841595
87,YAR064W_aa_aligned.fasta,0.766169
88,YAR066W_aa_aligned.fasta,0.82955
89,YAR068W_aa_aligned.fasta,0.832517
90,YAR069C_aa_aligned.fasta,0.720387
91,YAR070C_aa_aligned.fasta,0.769092
92,YAR071W_aa_aligned.fasta,0.84388
93,YAR073W_aa_aligned.fasta,0.794468
94,YAR075W_aa_aligned.fasta,0.667243
95,YBL001C_aa_aligned.fasta,0.715214
96,YBL002W_aa_aligned.fasta,0.837753
97,YBL003C_aa_aligned.fasta,0.8254075
98,YBL004W_aa_aligned.fasta,0.783274
99,YBL005W_aa_aligned.fasta,0.685825
100,YBL006C_aa_aligned.fasta,0.806927
101,YBL007C_aa_aligned.fasta,0.7780929999999999
102,YBL008W_aa_aligned.fasta,0.739117
103,YBL009W_aa_aligned.fasta,0.797928
104,YBL010C_aa_aligned.fasta,0.8413619999999999
105,YBL011W_aa_aligned.fasta,0.8171375
106,YBL012C_aa_aligned.fasta,0.812436
107,YBL013W_aa_aligned.fasta,0.786036
108,YBL014C_aa_aligned.fasta,0.839763
109,YBL015W_aa_aligned.fasta,0.813827
110,YBL016W_aa_aligned.fasta,0.746843
111,YBL017C_aa_aligned.fasta,0.658123
112,YBL018C_aa_aligned.fasta,0.750455
113,YBL019W_aa_aligned.fasta,0.8189985
114,YBL020W_aa_aligned.fasta,0.799577
115,YBL021C_aa_aligned.fasta,0.8411230000000001
116,YBL022C_aa_aligned.fasta,0.838474
117,YBL023C_aa_aligned.fasta,0.8288075
118,YBL024W_aa_aligned.fasta,0.8406145
119,YBL025W_aa_aligned.fasta,0.838934
120,YBL026W_aa_aligned.fasta,0.785597
121,YBL027W_aa_aligned.fasta,0.666628
122,YBL028C_aa_aligned.fasta,0.8271345
123,YBL029W_aa_aligned.fasta,0.8410725
124,YBL030C_aa_aligned.fasta,0.832435
125,YBL031W_aa_aligned.fasta,0.8380505
126,YBL032W_aa_aligned.fasta,0.778944
127,YBL033C_aa_aligned.fasta,0.838744
128,YBL034C_aa_aligned.fasta,0.767523
129,YBL035C_aa_aligned.fasta,0.681726
130,YBL036C_aa_aligned.fasta,0.837204
131,YBL037W_aa_aligned.fasta,0.690014
132,YBL038W_aa_aligned.fasta,0.838865
133,YBL039C_aa_aligned.fasta,0.838721
134,YBL040C_aa_aligned.fasta,0.6910325
135,YBL041W_aa_aligned.fasta,0.715803
136,YBL042C_aa_aligned.fasta,0.660517
137,YBL043W_aa_aligned.fasta,0.804799
138,YBL044W_aa_aligned.fasta,0.672298
139,YBL045C_aa_aligned.fasta,0.638487
140,YBL046W_aa_aligned.fasta,0.812066
141,YBL047C_aa_aligned.fasta,0.778405
142,YBL048W_aa_aligned.fasta,0.708573
143,YBL049W_aa_aligned.fasta,0.845966
144,YBL050W_aa_aligned.fasta,0.674712
