	Saccharomyces_cerevisiae	Scheffersomyces_lignosus
OG0000000	YKR064W, YLR256W, YML015C	-augustus-gene-16.0-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-augustus-gene-16.0&CDS=1-3471, -augustus-gene-7.96-mRNA-1_1&gene=maker-gi|1002316365|dbj|BCGS01000008.1|-augustus-gene-7.96&CDS=1-3147, -processed-gene-0.6-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.6&CDS=1-3507, -processed-gene-12.172-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-12.172&CDS=1-2331, -processed-gene-2.54-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.54&CDS=1-3396, -processed-gene-22.99-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.99&CDS=1-2214, -processed-gene-3.104-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-3.104&CDS=1-2961, -processed-gene-4.63-mRNA-1_1&gene=augustus_masked-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.63&CDS=1-3189, -snap-gene-2.45-mRNA-1_1&gene=maker-gi|1002316369|dbj|BCGS01000004.1|-snap-gene-2.45&CDS=1-6522, -snap-gene-4.64-mRNA-1_1&gene=maker-gi|1002316369|dbj|BCGS01000004.1|-snap-gene-4.64&CDS=1-7596
OG0000001	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	
OG0000002	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YJL219W, YLR081W, YMR011W, YOL156W	-processed-gene-13.115-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-13.115&CDS=1-1662
OG0000003	YCL069W, YGR224W, YKR105C, YPR198W	-processed-gene-1.19-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-1.19&CDS=1-2346, -processed-gene-12.1-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-12.1&CDS=1-1734, -processed-gene-14.69-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-14.69&CDS=1-1800, -processed-gene-22.11-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.11&CDS=1-1809, -processed-gene-3.70-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-3.70&CDS=1-1797, -snap-gene-21.105-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-21.105&CDS=1-3747
OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	-processed-gene-1.172-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.172&CDS=1-1716, -processed-gene-11.40-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-11.40&CDS=1-1716
OG0000005	YKR039W, YLL061W, YPL274W	-processed-gene-15.112-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.112&CDS=1-1716, -processed-gene-2.58-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.58&CDS=1-1788, -processed-gene-22.115-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.115&CDS=1-1743, -processed-gene-29.25-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-29.25&CDS=1-1776, -processed-gene-8.7-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-8.7&CDS=1-1758, -processed-gene-9.6-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-9.6&CDS=1-1809
OG0000006	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	-processed-gene-1.10-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.10&CDS=1-738, -processed-gene-3.48-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-3.48&CDS=1-981
OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	-processed-gene-15.25-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.25&CDS=1-1386, -processed-gene-19.13-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.13&CDS=1-1395, -snap-gene-21.103-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-21.103&CDS=1-4014
OG0000008	YBR015C, YJL186W	-processed-gene-17.87-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.87&CDS=1-2145, -processed-gene-3.103-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-3.103&CDS=1-1992, -processed-gene-3.17-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-3.17&CDS=1-1773, -processed-gene-5.17-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-5.17&CDS=1-1800, -processed-gene-6.24-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.24&CDS=1-1929, -processed-gene-7.95-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-7.95&CDS=1-1755
OG0000009	YDR321W, YHR179W, YPL171C	-augustus-gene-12.66-mRNA-1_1&gene=maker-gi|1002316366|dbj|BCGS01000007.1|-augustus-gene-12.66&CDS=1-2328, -augustus-gene-7.39-mRNA-1_1&gene=maker-gi|1002316372|dbj|BCGS01000001.1|-augustus-gene-7.39&CDS=1-2463, -processed-gene-10.38-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-10.38&CDS=1-1224, -processed-gene-16.43-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-16.43&CDS=1-1209, -processed-gene-17.46-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-17.46&CDS=1-1209
