	Saccharomyces_cerevisiae	Yarrowia_deformans
OG0000000	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	-processed-gene-1.59-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-1.59&CDS=1-1878, -processed-gene-17.55-mRNA-1_1&gene=snap_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-17.55&CDS=1-1938, -processed-gene-2.22-mRNA-1_1&gene=augustus_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-2.22&CDS=1-1923, -processed-gene-23.29-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.29&CDS=1-1983, -processed-gene-23.56-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-23.56&CDS=1-1923, -processed-gene-3.22-mRNA-1_1&gene=snap_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-3.22&CDS=1-1908, -processed-gene-3.39-mRNA-1_1&gene=snap_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-3.39&CDS=1-1908, -processed-gene-4.127-mRNA-1_1&gene=snap_masked-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.127&CDS=1-1872, -processed-gene-4.58-mRNA-1_1&gene=snap_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-4.58&CDS=1-1887, -processed-gene-5.9-mRNA-1_1&gene=augustus_masked-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-5.9&CDS=1-1854
OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	-processed-gene-8.103-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-8.103&CDS=1-1587
OG0000002	YJR107W	-processed-gene-0.11-mRNA-1_1&gene=snap_masked-gi|1002317473|dbj|BCIW01000016.1|-processed-gene-0.11&CDS=1-1152, -processed-gene-0.153-mRNA-1_1&gene=augustus_masked-gi|1002317465|dbj|BCIW01000024.1|-processed-gene-0.153&CDS=1-597, -processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-0.29&CDS=1-1200, -processed-gene-2.59-mRNA-1_1&gene=snap_masked-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-2.59&CDS=1-771, -processed-gene-3.104-mRNA-1_1&gene=augustus_masked-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-3.104&CDS=1-1020, -processed-gene-3.122-mRNA-1_1&gene=snap_masked-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.122&CDS=1-645, -processed-gene-4.26-mRNA-1_1&gene=snap_masked-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-4.26&CDS=1-1098, -processed-gene-6.27-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-6.27&CDS=1-1053, -processed-gene-6.36-mRNA-1_1&gene=snap_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-6.36&CDS=1-1218, -processed-gene-7.13-mRNA-1_1&gene=augustus_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-7.13&CDS=1-1110, -processed-gene-8.124-mRNA-1_1&gene=genemark-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.124&CDS=1-1002, -processed-gene-8.45-mRNA-1_1&gene=augustus_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-8.45&CDS=1-2424, -processed-gene-9.53-mRNA-1_1&gene=snap_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-9.53&CDS=1-1113
OG0000003	YDR402C	-processed-gene-1.138-mRNA-1_1&gene=snap_masked-gi|1002317468|dbj|BCIW01000021.1|-processed-gene-1.138&CDS=1-1542, -processed-gene-10.156-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.156&CDS=1-1569, -processed-gene-12.62-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-12.62&CDS=1-1572, -processed-gene-15.103-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-15.103&CDS=1-1539, -processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-2.14&CDS=1-1578, -processed-gene-3.53-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-3.53&CDS=1-1539, -processed-gene-4.47-mRNA-1_1&gene=augustus_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-4.47&CDS=1-486, -processed-gene-7.69-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-7.69&CDS=1-1782, -processed-gene-8.171-mRNA-1_1&gene=snap_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-8.171&CDS=1-1551, -processed-gene-8.66-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-8.66&CDS=1-1542, -processed-gene-8.71-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-8.71&CDS=1-1578, -snap-gene-3.42-mRNA-1_1&gene=maker-gi|1002317487|dbj|BCIW01000002.1|-snap-gene-3.42&CDS=1-3081
OG0000004	YGR260W	-processed-gene-0.50-mRNA-1_1&gene=genemark-gi|1002317467|dbj|BCIW01000022.1|-processed-gene-0.50&CDS=1-1524, -processed-gene-1.105-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-1.105&CDS=1-1503, -processed-gene-1.36-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-1.36&CDS=1-1530, -processed-gene-1.93-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-1.93&CDS=1-1530, -processed-gene-11.158-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-11.158&CDS=1-1533, -processed-gene-14.13-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-14.13&CDS=1-1518, -processed-gene-3.38-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-3.38&CDS=1-1602, -processed-gene-4.17-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-4.17&CDS=1-1530, -processed-gene-4.209-mRNA-1_1&gene=augustus_masked-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.209&CDS=1-1536, -processed-gene-4.32-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-4.32&CDS=1-1521, -processed-gene-8.43-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-8.43&CDS=1-1536, -processed-gene-9.32-mRNA-1_1&gene=genemark-gi|1002317484|dbj|BCIW01000005.1|-processed-gene-9.32&CDS=1-1446
OG0000005	YBR298C, YDL247W, YGR289C, YJR160C	-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002317466|dbj|BCIW01000023.1|-processed-gene-0.19&CDS=1-1518, -processed-gene-1.34-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-1.34&CDS=1-1515, -processed-gene-1.89-mRNA-1_1&gene=genemark-gi|1002317466|dbj|BCIW01000023.1|-processed-gene-1.89&CDS=1-1314, -processed-gene-13.54-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-13.54&CDS=1-1539, -processed-gene-2.5-mRNA-1_1&gene=genemark-gi|1002317470|dbj|BCIW01000019.1|-processed-gene-2.5&CDS=1-1410, -processed-gene-3.137-mRNA-1_1&gene=genemark-gi|1002317471|dbj|BCIW01000018.1|-processed-gene-3.137&CDS=1-1407, -processed-gene-6.31-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-6.31&CDS=1-1518, -processed-gene-8.34-mRNA-1_1&gene=snap_masked-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-8.34&CDS=1-1350
OG0000006	YDR404C, YDR541C, YGL039W, YGL157W, YOL151W	-processed-gene-1.38-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-1.38&CDS=1-1011, -processed-gene-11.73-mRNA-1_1&gene=genemark-gi|1002317486|dbj|BCIW01000003.1|-processed-gene-11.73&CDS=1-1026, -processed-gene-18.74-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-18.74&CDS=1-1485, -processed-gene-5.82-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-5.82&CDS=1-1056, -processed-gene-6.105-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-6.105&CDS=1-999, -processed-gene-8.56-mRNA-1_1&gene=genemark-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-8.56&CDS=1-1029, -snap-gene-6.103-mRNA-1_1&gene=maker-gi|1002317486|dbj|BCIW01000003.1|-snap-gene-6.103&CDS=1-1911
OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-4.69&CDS=1-2064, -processed-gene-4.70-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-4.70&CDS=1-2109, -processed-gene-4.71-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-4.71&CDS=1-2157, -processed-gene-4.72-mRNA-1_1&gene=augustus_masked-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-4.72&CDS=1-2154, -processed-gene-6.41-mRNA-1_1&gene=snap_masked-gi|1002317478|dbj|BCIW01000011.1|-processed-gene-6.41&CDS=1-2109, -processed-gene-7.65-mRNA-1_1&gene=genemark-gi|1002317487|dbj|BCIW01000002.1|-processed-gene-7.65&CDS=1-2115, -snap-gene-0.56-mRNA-1_1&gene=maker-gi|1002317485|dbj|BCIW01000004.1|-snap-gene-0.56&CDS=1-2295
OG0000008	YPR194C	-processed-gene-0.17-mRNA-1_1&gene=genemark-gi|1002317477|dbj|BCIW01000012.1|-processed-gene-0.17&CDS=1-2643, -processed-gene-10.143-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-10.143&CDS=1-2634, -processed-gene-2.64-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-2.64&CDS=1-2646, -processed-gene-2.70-mRNA-1_1&gene=genemark-gi|1002317475|dbj|BCIW01000014.1|-processed-gene-2.70&CDS=1-2649, -processed-gene-3.166-mRNA-1_1&gene=genemark-gi|1002317472|dbj|BCIW01000017.1|-processed-gene-3.166&CDS=1-2769, -processed-gene-3.20-mRNA-1_1&gene=augustus_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-3.20&CDS=1-2649, -processed-gene-3.90-mRNA-1_1&gene=genemark-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-3.90&CDS=1-2637, -processed-gene-4.29-mRNA-1_1&gene=snap_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-4.29&CDS=1-2778, -processed-gene-8.64-mRNA-1_1&gene=genemark-gi|1002317479|dbj|BCIW01000010.1|-processed-gene-8.64&CDS=1-2697, -processed-gene-8.90-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-8.90&CDS=1-2673, -processed-gene-9.18-mRNA-1_1&gene=genemark-gi|1002317482|dbj|BCIW01000007.1|-processed-gene-9.18&CDS=1-2658
OG0000009	YMR234W	-processed-gene-10.75-mRNA-1_1&gene=snap_masked-gi|1002317483|dbj|BCIW01000006.1|-processed-gene-10.75&CDS=1-468, -processed-gene-2.24-mRNA-1_1&gene=snap_masked-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-2.24&CDS=1-762, -processed-gene-21.47-mRNA-1_1&gene=snap_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-21.47&CDS=1-519, -processed-gene-22.21-mRNA-1_1&gene=augustus_masked-gi|1002317488|dbj|BCIW01000001.1|-processed-gene-22.21&CDS=1-444, -processed-gene-3.28-mRNA-1_1&gene=genemark-gi|1002317474|dbj|BCIW01000015.1|-processed-gene-3.28&CDS=1-747, -processed-gene-4.29-mRNA-1_1&gene=genemark-gi|1002317481|dbj|BCIW01000008.1|-processed-gene-4.29&CDS=1-801, -processed-gene-6.19-mRNA-1_1&gene=snap_masked-gi|1002317480|dbj|BCIW01000009.1|-processed-gene-6.19&CDS=1-837, -processed-gene-9.48-mRNA-1_1&gene=snap_masked-gi|1002317485|dbj|BCIW01000004.1|-processed-gene-9.48&CDS=1-201, -snap-gene-0.41-mRNA-1_1&gene=maker-gi|1002317463|dbj|BCIW01000026.1|-snap-gene-0.41&CDS=1-1125, -snap-gene-2.0-mRNA-1_1&gene=maker-gi|1002317477|dbj|BCIW01000012.1|-snap-gene-2.0&CDS=1-588
