	Saccharomyces_cerevisiae	Saccharomyces_uvarum
OG0000000	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YJL219W, YLR081W, YMR011W	genemark-Sbay_13-processed-gene-2.30-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-2.30&CDS=1-1623, genemark-Sbay_2-processed-gene-9.46-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-9.46&CDS=1-1710, genemark-Sbay_6-processed-gene-0.16-mRNA-1_1&gene=genemark-Sbay_6-processed-gene-0.16&CDS=1-1053, genemark-Sbay_9-processed-gene-3.34-mRNA-1_1&gene=genemark-Sbay_9-processed-gene-3.34&CDS=1-1377, maker-Sbay_10-snap-gene-3.98-mRNA-1_1&gene=maker-Sbay_10-snap-gene-3.98&CDS=1-3354, maker-Sbay_15-snap-gene-5.13-mRNA-1_1&gene=maker-Sbay_15-snap-gene-5.13&CDS=1-5166, maker-Sbay_2-augustus-gene-9.9-mRNA-1_1&gene=maker-Sbay_2-augustus-gene-9.9&CDS=1-2583
OG0000001	YAL068C, YBR301W, YDR542W, YEL049W, YGL261C, YGR294W, YHL046C, YIL176C, YJL223C, YLL064C, YLR461W, YNR076W, YOL161C	genemark-Sbay_14-processed-gene-6.143-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-6.143&CDS=1-363
OG0000002	YAR023C, YAR027W, YAR028W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W	maker-Sbay_1-snap-gene-0.230-mRNA-1_1&gene=maker-Sbay_1-snap-gene-0.230&CDS=1-249, maker-Sbay_3-snap-gene-0.6-mRNA-1_1&gene=maker-Sbay_3-snap-gene-0.6&CDS=1-474, snap_masked-Sbay_1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-Sbay_1-processed-gene-0.107&CDS=1-969
OG0000003	YBR302C, YDL248W, YFL062W, YGR295C, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W	snap_masked-Sbay_12-processed-gene-3.197-mRNA-1_1&gene=snap_masked-Sbay_12-processed-gene-3.197&CDS=1-981
OG0000004	YAL005C, YBL075C, YER103W, YLL024C	genemark-Sbay_2-processed-gene-0.109-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.109&CDS=1-1956, maker-Sbay_10-augustus-gene-1.131-mRNA-1_1&gene=maker-Sbay_10-augustus-gene-1.131&CDS=1-1116, maker-Sbay_5-augustus-gene-3.0-mRNA-1_1&gene=maker-Sbay_5-augustus-gene-3.0&CDS=1-2622, snap_masked-Sbay_1-processed-gene-0.137-mRNA-1_1&gene=snap_masked-Sbay_1-processed-gene-0.137&CDS=1-1539
OG0000005	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-Sbay_4-processed-gene-4.5-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-4.5&CDS=1-1404, maker-Sbay_4-snap-gene-6.15-mRNA-1_1&gene=maker-Sbay_4-snap-gene-6.15&CDS=1-2727, snap_masked-Sbay_9-processed-gene-0.25-mRNA-1_1&gene=snap_masked-Sbay_9-processed-gene-0.25&CDS=1-1386
OG0000006	YBR145W, YMR083W, YMR303C, YOL086C	genemark-Sbay_13-processed-gene-4.57-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-4.57&CDS=1-1125, genemark-Sbay_13-processed-gene-8.47-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-8.47&CDS=1-1044, genemark-Sbay_15-processed-gene-1.74-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-1.74&CDS=1-1044, genemark-Sbay_4-processed-gene-7.53-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-7.53&CDS=1-1053
OG0000007	YCR104W, YIR041W, YKL224C, YLL025W, YLR037C, YMR325W	genemark-Sbay_5-processed-gene-1.154-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-1.154&CDS=1-372
OG0000008	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-Sbay_5-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-Sbay_5-processed-gene-4.26&CDS=1-1206, genemark-Sbay_16-processed-gene-0.54-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-0.54&CDS=1-1173
OG0000009	YBR299W, YGR292W, YIL172C, YJL221C, YOL157C	genemark-Sbay_16-processed-gene-0.53-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-0.53&CDS=1-1755
OG0000010	YDL066W, YLR173W, YNL009W	augustus_masked-Sbay_10-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-Sbay_10-processed-gene-4.33&CDS=1-3021, genemark-Sbay_14-processed-gene-6.109-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-6.109&CDS=1-1251, genemark-Sbay_4-processed-gene-3.63-mRNA-1_1&gene=genemark-Sbay_4-processed-gene-3.63&CDS=1-1287
OG0000011	YDL245C, YEL069C, YJR158W, YNR072W	genemark-Sbay_12-processed-gene-3.93-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.93&CDS=1-1656, genemark-Sbay_15-processed-gene-6.126-mRNA-1_1&gene=genemark-Sbay_15-processed-gene-6.126&CDS=1-1707
OG0000012	YDR406W, YOR153W, YOR328W	augustus_masked-Sbay_8-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-Sbay_8-processed-gene-3.14&CDS=1-6252, genemark-Sbay_2-processed-gene-10.100-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-10.100&CDS=1-4611, genemark-Sbay_8-processed-gene-6.118-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-6.118&CDS=1-4662
OG0000013	YDR436W, YER133W, YML016C	genemark-Sbay_13-processed-gene-2.38-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-2.38&CDS=1-2103, genemark-Sbay_2-processed-gene-11.78-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-11.78&CDS=1-2124, genemark-Sbay_5-processed-gene-4.115-mRNA-1_1&gene=genemark-Sbay_5-processed-gene-4.115&CDS=1-936
OG0000014	YFL051C	genemark-Sbay_10-processed-gene-0.56-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-0.56&CDS=1-3183, maker-Sbay_1-snap-gene-0.222-mRNA-1_1&gene=maker-Sbay_1-snap-gene-0.222&CDS=1-2319, maker-Sbay_1-snap-gene-0.223-mRNA-1_1&gene=maker-Sbay_1-snap-gene-0.223&CDS=1-3873, maker-Sbay_11-snap-gene-5.4-mRNA-1_1&gene=maker-Sbay_11-snap-gene-5.4&CDS=1-3000, maker-Sbay_6-snap-gene-0.126-mRNA-1_1&gene=maker-Sbay_6-snap-gene-0.126&CDS=1-1812
OG0000015	YGR032W, YLR342W, YMR306W	augustus_masked-Sbay_13-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-Sbay_13-processed-gene-8.121&CDS=1-5355, augustus_masked-Sbay_7-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-Sbay_7-processed-gene-5.22&CDS=1-5949, genemark-Sbay_10-processed-gene-7.98-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-7.98&CDS=1-3636
OG0000016	YGR087C, YLR044C, YLR134W	genemark-Sbay_10-processed-gene-2.97-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-2.97&CDS=1-1689, genemark-Sbay_10-processed-gene-4.124-mRNA-1_1&gene=genemark-Sbay_10-processed-gene-4.124&CDS=1-1689, genemark-Sbay_7-processed-gene-6.69-mRNA-1_1&gene=genemark-Sbay_7-processed-gene-6.69&CDS=1-1689
OG0000017	YGR192C, YJL052W, YJR009C	genemark-Sbay_12-processed-gene-1.113-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-1.113&CDS=1-996, genemark-Sbay_6-processed-gene-2.70-mRNA-1_1&gene=genemark-Sbay_6-processed-gene-2.70&CDS=1-996, genemark-Sbay_7-processed-gene-8.134-mRNA-1_1&gene=genemark-Sbay_7-processed-gene-8.134&CDS=1-996
OG0000018	YGR254W, YHR174W, YMR323W, YOR393W, YPL281C	maker-Sbay_15-augustus-gene-6.221-mRNA-1_1&gene=maker-Sbay_15-augustus-gene-6.221&CDS=1-1821
OG0000019	YKL220C, YNR060W, YOR381W	genemark-Sbay_12-processed-gene-3.91-mRNA-1_1&gene=genemark-Sbay_12-processed-gene-3.91&CDS=1-2160, genemark-Sbay_14-processed-gene-6.146-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-6.146&CDS=1-2160, genemark-Sbay_8-processed-gene-7.116-mRNA-1_1&gene=genemark-Sbay_8-processed-gene-7.116&CDS=1-2055
OG0000020	YML111W, YMR275C, YNR069C	augustus_masked-Sbay_13-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-Sbay_13-processed-gene-8.110&CDS=1-6660, genemark-Sbay_13-processed-gene-0.104-mRNA-1_1&gene=genemark-Sbay_13-processed-gene-0.104&CDS=1-2742, snap_masked-Sbay_14-processed-gene-6.106-mRNA-1_1&gene=snap_masked-Sbay_14-processed-gene-6.106&CDS=1-2514
OG0000021	YBL104C, YBL106C, YPR032W	augustus_masked-Sbay_2-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-Sbay_2-processed-gene-0.28&CDS=1-8790, genemark-Sbay_16-processed-gene-6.63-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-6.63&CDS=1-5340
OG0000022	YBR298C, YDL247W, YJR160C	genemark-Sbay_16-processed-gene-0.36-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-0.36&CDS=1-1836, genemark-Sbay_2-processed-gene-0.78-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.78&CDS=1-1842
OG0000023	YCR107W, YDL243C, YJR155W, YNL331C	genemark-Sbay_14-processed-gene-0.27-mRNA-1_1&gene=genemark-Sbay_14-processed-gene-0.27&CDS=1-1128
OG0000024	YDL244W, YFL058W, YJR156C, YNL332W	genemark-Sbay_2-processed-gene-0.80-mRNA-1_1&gene=genemark-Sbay_2-processed-gene-0.80&CDS=1-1020
OG0000025	YDR011W, YNR070W, YPL058C	genemark-Sbay_16-processed-gene-4.130-mRNA-1_1&gene=genemark-Sbay_16-processed-gene-4.130&CDS=1-4539, genemark-Sbay_7-processed-gene-0.67-mRNA-1_1&gene=genemark-Sbay_7-processed-gene-0.67&CDS=1-4290
