"X1"	"OG"	"dN_dS"	"species_num"	"protein_num"	"average_duplicate"	"group"
0	"OG8384"	0.19915	34	36	1.058823529	"g2"
1	"OG13001"	0.18485	11	11	1	"g2"
2	"OG18405"	0.3624	7	7	1	"g1"
3	"OG15354"	0.3433	9	9	1	"g1"
4	"OG2176"	0.08765	310	343	1.106451613	"g7"
5	"OG12299"	0.0596	11	13	1.181818182	"g2"
6	"OG8016"	0.1738	41	41	1	"g2"
7	"OG3717"	0.1762	301	303	1.006644518	"g7"
8	"OG15788"	0.3005	8	8	1	"g1"
9	"OG3802"	0.3605	294	299	1.017006803	"g7"
10	"OG1516"	0.035	338	358	1.059171598	"g7"
11	"OG4950"	0.12615	178	196	1.101123596	"g5"
12	"OG14805"	0.229	9	9	1	"g1"
13	"OG2455"	0.09515	323	339	1.049535604	"g7"
14	"OG4173"	0.1323	256	275	1.07421875	"g7"
15	"OG1200"	0.1602	312	430	1.378205128	"g7"
16	"OG11661"	0.34595	14	15	1.071428571	"g2"
17	"OG7673"	0.1423	38	47	1.236842105	"g2"
18	"OG11297"	0.3073	16	16	1	"g2"
19	"OG4041"	0.3475	282	285	1.010638298	"g7"
20	"OG3896"	0.1764	290	294	1.013793103	"g7"
21	"OG4436"	0.1396	253	254	1.003952569	"g7"
22	"OG10627"	0.2547	19	19	1	"g2"
23	"OG6426"	0.27975	71	72	1.014084507	"g3"
24	"OG16100"	0.14425	8	8	1	"g1"
25	"OG9958"	0.1937	22	23	1.045454545	"g2"
26	"OG3480"	0.07985	301	312	1.03654485	"g7"
27	"OG4804"	0.40505	215	216	1.004651163	"g6"
28	"OG15631"	0.1712	8	8	1	"g1"
29	"OG5194"	0.23775	160	162	1.0125	"g5"
30	"OG3347"	0.1529	312	317	1.016025641	"g7"
31	"OG9435"	0.13425	27	27	1	"g2"
32	"OG15282"	0.22125	9	9	1	"g1"
33	"OG6069"	0.2664	85	85	1	"g3"
