,OG,negative_num,positive_num
0,OG12960,259,0
1,OG4949,154,0
2,OG4314,356,0
3,OG4860,136,0
4,OG4761,155,0
5,OG5204,207,0
6,OG5600,366,0
7,OG1358,898,0
8,OG13721,85,0
9,OG13902,77,0
10,OG7921,77,0
11,OG5315,729,0
12,OG6971,121,0
13,OG2912,276,0
14,OG11858,23,0
15,OG3958,46,0
16,OG13757,95,0
17,OG7024,245,0
18,OG17269,66,1
19,OG3827,191,0
20,OG3872,153,0
21,OG9794,232,0
22,OG17068,206,1
23,OG8437,179,0
24,OG6334,380,0
25,OG3770,319,0
26,OG12140,161,0
27,OG7503,167,0
28,OG15430,83,0
29,OG12738,165,0
30,OG7128,128,0
31,OG13333,223,0
32,OG6690,288,0
33,OG5726,216,0
34,OG6764,58,0
35,OG18463,75,0
36,OG8411,91,1
37,OG1411,434,0
38,OG14638,92,0
39,OG2374,518,0
40,OG8235,301,0
41,OG3169,700,0
42,OG9676,114,1
43,OG11255,52,15
44,OG3054,6300,0
45,OG8699,66,0
46,OG14731,72,0
47,OG2185,357,0
48,OG9179,221,1
49,OG9684,40,0
50,OG9826,112,0
51,OG12377,98,0
52,OG3733,487,0
53,OG1379,203,0
54,OG14837,168,0
55,OG7906,87,0
56,OG8574,188,0
57,OG15736,129,0
58,OG1883,438,0
59,OG6755,407,0
60,OG8480,59,0
61,OG5304,149,0
62,OG4957,553,0
63,OG18017,46,3
64,OG4052,186,0
65,OG7234,128,1
66,OG17657,27,1
67,OG2754,257,0
68,OG10879,54,0
69,OG4878,94,1
70,OG9977,83,0
71,OG2511,1531,0
72,OG1808,360,0
73,OG7762,131,0
74,OG8983,90,1
75,OG13653,211,0
76,OG16639,372,1
77,OG12652,195,0
78,OG3828,579,0
79,OG13266,53,0
80,OG7417,181,0
81,OG7309,272,0
82,OG10190,120,4
83,OG11711,32,0
84,OG2495,660,0
85,OG12555,303,1
86,OG2501,916,0
87,OG16487,203,0
88,OG6263,736,0
89,OG4557,377,0
90,OG9036,93,0
91,OG5967,405,0
92,OG6943,414,0
93,OG9115,313,0
94,OG11999,32,0
95,OG6706,446,0
96,OG10101,185,0
97,OG3758,52,0
98,OG15737,135,0
99,OG8088,366,0
100,OG1895,315,0
101,OG7238,71,0
102,OG8053,171,0
103,OG4233,185,0
104,OG4281,99,0
105,OG7768,48,0
106,OG14646,50,1
107,OG13303,82,0
108,OG6941,214,0
109,OG13152,63,0
110,OG7138,460,0
111,OG2341,400,0
112,OG7516,115,0
113,OG9914,95,0
114,OG7490,348,0
115,OG6215,81,0
116,OG9751,62,0
117,OG8628,187,0
118,OG14176,64,1
119,OG5497,121,0
120,OG3859,137,0
121,OG18158,117,0
122,OG11121,122,0
123,OG2040,189,0
124,OG14610,95,0
125,OG14633,142,0
126,OG14995,53,0
127,OG3153,210,0
128,OG18711,10,2
129,OG13285,52,1
130,OG6257,95,0
131,OG5404,744,0
132,OG9175,293,0
133,OG14404,66,0
134,OG8501,169,1
135,OG5773,142,0
136,OG7520,257,0
137,OG7367,787,0
138,OG3020,270,0
139,OG13796,187,0
140,OG10507,197,0
141,OG2369,199,0
142,OG12800,136,0
143,OG1260,678,0
144,OG11267,413,0
145,OG11459,46,0
146,OG5699,207,0
147,OG11441,67,1
148,OG12187,188,0
149,OG13950,212,0
150,OG5042,267,0
151,OG10563,112,1
152,OG9383,148,0
153,OG1823,208,0
154,OG13223,84,2
155,OG15631,37,0
156,OG4404,490,0
157,OG4800,189,0
158,OG6159,322,0
159,OG3532,152,0
160,OG2154,512,0
161,OG2742,518,0
162,OG4645,113,0
163,OG5937,184,1
164,OG10336,40,0
165,OG18367,77,2
166,OG7511,149,0
167,OG2043,366,0
168,OG7505,191,0
169,OG11174,452,0
170,OG2725,132,0
171,OG13883,27,0
172,OG13501,18,8
173,OG12357,90,2
174,OG15035,75,1
175,OG2587,189,0
176,OG15383,36,0
177,OG2136,410,0
178,OG4048,479,0
179,OG7802,353,0
180,OG9030,129,0
181,OG2165,445,0
182,OG4729,302,0
183,OG7781,122,0
184,OG7363,86,0
185,OG6082,291,0
186,OG14676,46,0
187,OG5968,108,0
188,OG16240,41,0
189,OG4778,442,0
190,OG14545,161,0
191,OG5327,412,0
192,OG1301,243,2
193,OG4395,82,0
194,OG14738,80,0
195,OG6760,290,0
196,OG10700,281,0
197,OG2280,719,0
198,OG12656,88,0
199,OG14680,60,0
200,OG3734,106,0
201,OG5531,208,1
202,OG8205,330,0
203,OG9561,76,0
204,OG13208,0,0
205,OG6527,235,2
206,OG4230,287,0
207,OG8936,156,0
208,OG11569,202,0
209,OG3689,129,0
210,OG17086,386,1
211,OG9707,273,0
212,OG14939,96,0
213,OG16360,53,0
214,OG8606,196,1
215,OG8459,66,0
216,OG9817,101,0
217,OG8300,70,0
218,OG18004,90,0
219,OG13522,138,0
220,OG2231,149,0
221,OG3367,295,0
222,OG5721,523,1
223,OG3889,200,0
224,OG5707,435,0
225,OG4508,85,0
226,OG16867,218,1
227,OG7677,125,0
228,OG13695,211,0
229,OG17160,37,0
230,OG13496,92,3
231,OG2497,213,0
232,OG16627,25,0
233,OG8738,86,0
234,OG4889,272,0
235,OG8945,267,0
236,OG2069,397,0
237,OG3709,197,0
238,OG4751,51,1
239,OG7190,290,0
240,OG6002,305,0
241,OG11633,59,0
242,OG2358,426,0
243,OG12350,280,0
244,OG17256,200,0
245,OG17953,307,2
246,OG1794,698,0
247,OG16069,591,0
248,OG1420,396,1
249,OG13836,116,0
250,OG2412,1024,0
251,OG9081,284,0
252,OG11820,172,0
253,OG9710,88,0
254,OG14407,128,0
255,OG3436,375,0
256,OG12692,84,0
257,OG4538,230,0
258,OG3034,83,0
259,OG16201,103,0
260,OG12982,396,0
261,OG1158,319,0
262,OG14880,48,0
263,OG10052,40,1
264,OG9251,122,0
265,OG5894,284,0
266,OG9821,79,0
267,OG8806,9,0
268,OG5414,114,0
269,OG1493,161,0
270,OG11973,33,0
271,OG8230,233,0
272,OG9375,206,0
273,OG1486,260,0
274,OG4589,326,0
275,OG6034,152,0
276,OG8046,51,0
277,OG14839,51,0
278,OG18391,80,0
279,OG6532,516,0
280,OG18629,49,0
281,OG11879,135,0
