	Saccharomyces_cerevisiae	yHMPu5000034986_Candida_oregonensis
OG0000000	YDR134C, YLR110C	augustus_masked-NODE_120_length_396_cov_102.959_ID_239-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_120_length_396_cov_102.959_ID_239-processed-gene-0.2&CDS=1-396, augustus_masked-NODE_166_length_348_cov_81.1086_ID_331-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_166_length_348_cov_81.1086_ID_331-processed-gene-0.0&CDS=1-348, augustus_masked-NODE_195_length_324_cov_148.93_ID_389-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_195_length_324_cov_148.93_ID_389-processed-gene-0.0&CDS=1-321, augustus_masked-NODE_223_length_247_cov_134.205_ID_445-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_223_length_247_cov_134.205_ID_445-processed-gene-0.0&CDS=1-243, augustus_masked-NODE_22_length_12831_cov_90.6122_ID_43-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_22_length_12831_cov_90.6122_ID_43-processed-gene-0.0&CDS=1-1281, augustus_masked-NODE_237_length_215_cov_120.388_ID_473-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_237_length_215_cov_120.388_ID_473-processed-gene-0.1&CDS=1-207, augustus_masked-NODE_244_length_210_cov_18.1473_ID_487-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_244_length_210_cov_18.1473_ID_487-processed-gene-0.0&CDS=1-210, augustus_masked-NODE_251_length_202_cov_190.777_ID_501-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_251_length_202_cov_190.777_ID_501-processed-gene-0.1&CDS=1-201, augustus_masked-NODE_252_length_202_cov_170.455_ID_503-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_252_length_202_cov_170.455_ID_503-processed-gene-0.0&CDS=1-198, augustus_masked-NODE_253_length_198_cov_156.598_ID_505-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_253_length_198_cov_156.598_ID_505-processed-gene-0.0&CDS=1-195, augustus_masked-NODE_254_length_198_cov_269.684_ID_507-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_254_length_198_cov_269.684_ID_507-processed-gene-0.0&CDS=1-195, augustus_masked-NODE_269_length_189_cov_97.4074_ID_537-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_269_length_189_cov_97.4074_ID_537-processed-gene-0.1&CDS=1-189, augustus_masked-NODE_57_length_673_cov_92.4578_ID_113-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_57_length_673_cov_92.4578_ID_113-processed-gene-0.2&CDS=1-669, augustus_masked-NODE_74_length_513_cov_128.016_ID_147-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_74_length_513_cov_128.016_ID_147-processed-gene-0.2&CDS=1-510, genemark-NODE_30_length_4175_cov_76.2765_ID_59-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_30_length_4175_cov_76.2765_ID_59-processed-gene-0.2&CDS=1-780, maker-NODE_29_length_5738_cov_89.3109_ID_57-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_29_length_5738_cov_89.3109_ID_57-snap-gene-0.6&CDS=1-1947, maker-NODE_3_length_981849_cov_61.5484_ID_5-snap-gene-0.132-mRNA-1_1&gene=maker-NODE_3_length_981849_cov_61.5484_ID_5-snap-gene-0.132&CDS=1-6027, snap_masked-NODE_21_length_17427_cov_91.0074_ID_41-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_21_length_17427_cov_91.0074_ID_41-processed-gene-0.0&CDS=1-1299, snap_masked-NODE_28_length_7077_cov_31.6997_ID_55-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_28_length_7077_cov_31.6997_ID_55-processed-gene-0.3&CDS=1-2475, snap_masked-NODE_36_length_2407_cov_230.714_ID_71-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_36_length_2407_cov_230.714_ID_71-processed-gene-0.2&CDS=1-831, snap_masked-NODE_38_length_1866_cov_105.798_ID_75-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_38_length_1866_cov_105.798_ID_75-processed-gene-0.1&CDS=1-1140, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-2.97&CDS=1-981
OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	maker-NODE_9_length_451826_cov_59.5865_ID_17-augustus-gene-3.163-mRNA-1_1&gene=maker-NODE_9_length_451826_cov_59.5865_ID_17-augustus-gene-3.163&CDS=1-3285
OG0000002	YJR061W, YKL201C	augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.101&CDS=1-2232, genemark-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.10&CDS=1-2268, maker-NODE_21_length_17427_cov_91.0074_ID_41-snap-gene-0.11-mRNA-1_1&gene=maker-NODE_21_length_17427_cov_91.0074_ID_41-snap-gene-0.11&CDS=1-4413, maker-NODE_6_length_904599_cov_47.8862_ID_11-snap-gene-8.110-mRNA-1_1&gene=maker-NODE_6_length_904599_cov_47.8862_ID_11-snap-gene-8.110&CDS=1-2166, snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.63&CDS=1-1539, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.114-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.114&CDS=1-2139, snap_masked-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.7&CDS=1-2205, snap_masked-NODE_24_length_11855_cov_104.068_ID_47-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_24_length_11855_cov_104.068_ID_47-processed-gene-0.0&CDS=1-1512, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-6.115-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-6.115&CDS=1-2202, snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.28-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.28&CDS=1-1770, snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-3.135-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-3.135&CDS=1-2466
OG0000003	YJR004C	augustus_masked-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.3&CDS=1-1284, genemark-NODE_26_length_10992_cov_81.8487_ID_51-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_26_length_10992_cov_81.8487_ID_51-processed-gene-0.5&CDS=1-3735, snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-3.112-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-3.112&CDS=1-1362, snap_masked-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.5&CDS=1-3027, snap_masked-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_20_length_22448_cov_85.3916_ID_39-processed-gene-0.8&CDS=1-522, snap_masked-NODE_21_length_17427_cov_91.0074_ID_41-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_21_length_17427_cov_91.0074_ID_41-processed-gene-0.3&CDS=1-573, snap_masked-NODE_26_length_10992_cov_81.8487_ID_51-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_26_length_10992_cov_81.8487_ID_51-processed-gene-0.11&CDS=1-642, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.237-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.237&CDS=1-1827, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.136-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.136&CDS=1-2943, snap_masked-NODE_71_length_522_cov_66.3696_ID_141-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_71_length_522_cov_66.3696_ID_141-processed-gene-0.0&CDS=1-216
OG0000004	YGR281W, YKR104W	augustus_masked-NODE_28_length_7077_cov_31.6997_ID_55-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_28_length_7077_cov_31.6997_ID_55-processed-gene-0.0&CDS=1-3795, maker-NODE_23_length_12382_cov_77.1939_ID_45-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_23_length_12382_cov_77.1939_ID_45-snap-gene-0.5&CDS=1-11199, maker-NODE_7_length_871080_cov_57.3584_ID_13-snap-gene-2.105-mRNA-1_1&gene=maker-NODE_7_length_871080_cov_57.3584_ID_13-snap-gene-2.105&CDS=1-8394, maker-NODE_8_length_763746_cov_51.4564_ID_15-snap-gene-6.184-mRNA-1_1&gene=maker-NODE_8_length_763746_cov_51.4564_ID_15-snap-gene-6.184&CDS=1-11217, snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-5.110-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-5.110&CDS=1-4557, snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-5.95-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-5.95&CDS=1-4245, snap_masked-NODE_52_length_742_cov_153.303_ID_103-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_52_length_742_cov_153.303_ID_103-processed-gene-0.1&CDS=1-660, snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-0.26&CDS=1-3993
OG0000005	YKR064W	augustus_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-0.75&CDS=1-2961, augustus_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-7.44&CDS=1-2532, genemark-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.80-mRNA-1_1&gene=genemark-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-3.80&CDS=1-2589, maker-NODE_2_length_1008149_cov_54.5014_ID_3-snap-gene-3.5-mRNA-1_1&gene=maker-NODE_2_length_1008149_cov_54.5014_ID_3-snap-gene-3.5&CDS=1-3288, maker-NODE_7_length_871080_cov_57.3584_ID_13-augustus-gene-2.103-mRNA-1_1&gene=maker-NODE_7_length_871080_cov_57.3584_ID_13-augustus-gene-2.103&CDS=1-2097, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-13.1-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-13.1&CDS=1-2706, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-13.41-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-13.41&CDS=1-2127, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-5.115-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-5.115&CDS=1-2049, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.105-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.105&CDS=1-6084
OG0000006	YDR541C, YJL108C, YOL151W	maker-NODE_9_length_451826_cov_59.5865_ID_17-augustus-gene-0.135-mRNA-1_1&gene=maker-NODE_9_length_451826_cov_59.5865_ID_17-augustus-gene-0.135&CDS=1-3633, snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.30&CDS=1-1014, snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-1.105-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-1.105&CDS=1-1011, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-7.95-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-7.95&CDS=1-1026, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.288-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-8.288&CDS=1-1035, snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-1.94-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-1.94&CDS=1-1008
OG0000007	YKR039W, YLL061W, YPL274W	snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-0.11&CDS=1-1755, snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-0.30&CDS=1-1716, snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.7&CDS=1-1707, snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.49-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.49&CDS=1-1737, snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-0.20&CDS=1-1731, snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.173-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.173&CDS=1-1722
OG0000008	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-2.128-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-2.128&CDS=1-1695
OG0000009	YER013W, YGL120C, YKR086W, YNR011C	snap_masked-NODE_17_length_77706_cov_73.9179_ID_33-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_17_length_77706_cov_73.9179_ID_33-processed-gene-0.68&CDS=1-3201, snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-0.93&CDS=1-2607, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.58&CDS=1-3306, snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.17&CDS=1-2265
