	Saccharomyces_cerevisiae	yHMPu5000034887_Ogataea_trehaloabstinens
OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	snap_masked-NODE_99_length_585_cov_166.262_ID_197-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_99_length_585_cov_166.262_ID_197-processed-gene-0.1&CDS=1-399
OG0000001	YDR536W, YFL040W	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-2.74&CDS=1-1548, augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.120&CDS=1-1584, augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.157&CDS=1-1545, augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.85&CDS=1-1602, augustus_masked-NODE_16_length_65886_cov_36.0601_ID_31-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_16_length_65886_cov_36.0601_ID_31-processed-gene-0.7&CDS=1-1587, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-0.62&CDS=1-1581, augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-0.79&CDS=1-1821, augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.291-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.291&CDS=1-1620, augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-2.80&CDS=1-1596, augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.131&CDS=1-1530, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-0.62&CDS=1-1488, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.71&CDS=1-1557, maker-NODE_6_length_848181_cov_19.387_ID_11-snap-gene-7.167-mRNA-1_1&gene=maker-NODE_6_length_848181_cov_19.387_ID_11-snap-gene-7.167&CDS=1-1581, snap_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-1.33&CDS=1-1584
OG0000002	YKR064W, YNR006W	augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.135&CDS=1-1866, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.151&CDS=1-2718, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.152&CDS=1-2640, augustus_masked-NODE_21_length_23774_cov_73.8574_ID_41-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_21_length_23774_cov_73.8574_ID_41-processed-gene-0.14&CDS=1-2319, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.85-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.85&CDS=1-2601, augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.53&CDS=1-3978, augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-0.51&CDS=1-4377, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-2.109&CDS=1-2118, genemark-NODE_13_length_125394_cov_30.0202_ID_25-processed-gene-0.131-mRNA-1_1&gene=genemark-NODE_13_length_125394_cov_30.0202_ID_25-processed-gene-0.131&CDS=1-1767, maker-NODE_6_length_848181_cov_19.387_ID_11-augustus-gene-7.3-mRNA-1_1&gene=maker-NODE_6_length_848181_cov_19.387_ID_11-augustus-gene-7.3&CDS=1-3582, maker-NODE_9_length_736505_cov_22.0163_ID_17-augustus-gene-1.110-mRNA-1_1&gene=maker-NODE_9_length_736505_cov_22.0163_ID_17-augustus-gene-1.110&CDS=1-1734, snap_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-2.133-mRNA-1_1&gene=snap_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-2.133&CDS=1-2865, snap_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.122&CDS=1-2040, snap_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-5.60-mRNA-1_1&gene=snap_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-5.60&CDS=1-2334
OG0000003	YBR015C, YDR287W, YDR386W, YHR046C, YOR211C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-10.17-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-10.17&CDS=1-1743, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-6.164-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-6.164&CDS=1-2814, augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-3.44&CDS=1-1572, augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-0.122&CDS=1-3357, augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-3.26&CDS=1-1986, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-6.111&CDS=1-1479, genemark-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.188-mRNA-1_1&gene=genemark-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.188&CDS=1-1977, maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-10.108-mRNA-1_1&gene=maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-10.108&CDS=1-4413, snap_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.145&CDS=1-1704, snap_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-8.75-mRNA-1_1&gene=snap_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-8.75&CDS=1-2175
OG0000004	YBR240C	augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.109&CDS=1-1722, augustus_masked-NODE_16_length_65886_cov_36.0601_ID_31-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_16_length_65886_cov_36.0601_ID_31-processed-gene-0.20&CDS=1-1812, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-12.169-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-12.169&CDS=1-1518, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.26&CDS=1-2529, augustus_masked-NODE_20_length_33517_cov_38.4347_ID_39-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_20_length_33517_cov_38.4347_ID_39-processed-gene-0.19&CDS=1-1254, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-7.119-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-7.119&CDS=1-1038, augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-1.27&CDS=1-2769, augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.35&CDS=1-1605, augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.98&CDS=1-2535, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-1.130&CDS=1-1986, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.88&CDS=1-1479, maker-NODE_24_length_16664_cov_35.7029_ID_47-snap-gene-0.24-mRNA-1_1&gene=maker-NODE_24_length_16664_cov_35.7029_ID_47-snap-gene-0.24&CDS=1-1662, maker-NODE_7_length_761518_cov_19.0131_ID_13-snap-gene-1.183-mRNA-1_1&gene=maker-NODE_7_length_761518_cov_19.0131_ID_13-snap-gene-1.183&CDS=1-2145
OG0000005	YDR242W, YEL020C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-0.79&CDS=1-1662, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-0.80&CDS=1-1599, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-4.142&CDS=1-1617, augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-7.28&CDS=1-1713, augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.17-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.17&CDS=1-1605, augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.127-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.127&CDS=1-1677, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-0.46&CDS=1-1647, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-0.66&CDS=1-1602, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-3.77&CDS=1-1632, maker-NODE_1_length_1805010_cov_18.4679_ID_1-augustus-gene-9.104-mRNA-1_1&gene=maker-NODE_1_length_1805010_cov_18.4679_ID_1-augustus-gene-9.104&CDS=1-3273, maker-NODE_9_length_736505_cov_22.0163_ID_17-snap-gene-1.54-mRNA-1_1&gene=maker-NODE_9_length_736505_cov_22.0163_ID_17-snap-gene-1.54&CDS=1-4179, snap_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.204-mRNA-1_1&gene=snap_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.204&CDS=1-1662
OG0000006	YCR028C	augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.78&CDS=1-1542, augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.90&CDS=1-1500, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-0.66&CDS=1-2361, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.144&CDS=1-1515, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.145-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-9.145&CDS=1-1518, augustus_masked-NODE_22_length_23210_cov_34.2671_ID_43-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_22_length_23210_cov_34.2671_ID_43-processed-gene-0.34&CDS=1-1515, augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-4.46&CDS=1-1566, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-5.105&CDS=1-1776, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-5.85&CDS=1-1494, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.88&CDS=1-1536, augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-3.134&CDS=1-1479, maker-NODE_16_length_65886_cov_36.0601_ID_31-snap-gene-0.72-mRNA-1_1&gene=maker-NODE_16_length_65886_cov_36.0601_ID_31-snap-gene-0.72&CDS=1-2349
OG0000007	YDR011W, YOR153W, YPL058C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-2.97&CDS=1-4527, augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-3.67&CDS=1-4479, augustus_masked-NODE_52_length_1593_cov_64.3176_ID_103-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_52_length_1593_cov_64.3176_ID_103-processed-gene-0.1&CDS=1-1590, augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.30&CDS=1-4527, augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-5.116&CDS=1-4488, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.79&CDS=1-4446, maker-NODE_1_length_1805010_cov_18.4679_ID_1-augustus-gene-8.53-mRNA-1_1&gene=maker-NODE_1_length_1805010_cov_18.4679_ID_1-augustus-gene-8.53&CDS=1-4620
OG0000008	YKL215C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.314-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.314&CDS=1-5889, augustus_masked-NODE_17_length_58967_cov_35.7279_ID_33-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_17_length_58967_cov_35.7279_ID_33-processed-gene-0.12&CDS=1-3993, augustus_masked-NODE_21_length_23774_cov_73.8574_ID_41-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_21_length_23774_cov_73.8574_ID_41-processed-gene-0.12&CDS=1-3948, augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.85&CDS=1-3918, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-1.118&CDS=1-3930, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-2.58&CDS=1-3987, maker-NODE_1_length_1805010_cov_18.4679_ID_1-snap-gene-6.115-mRNA-1_1&gene=maker-NODE_1_length_1805010_cov_18.4679_ID_1-snap-gene-6.115&CDS=1-7098, maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-10.106-mRNA-1_1&gene=maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-10.106&CDS=1-4635, maker-NODE_3_length_1005204_cov_18.4717_ID_5-augustus-gene-5.58-mRNA-1_1&gene=maker-NODE_3_length_1005204_cov_18.4717_ID_5-augustus-gene-5.58&CDS=1-3819
OG0000009	YCL024W, YDR477W, YDR507C, YKL101W, YPL150W	augustus_masked-NODE_15_length_89900_cov_16.9629_ID_29-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_15_length_89900_cov_16.9629_ID_29-processed-gene-0.39&CDS=1-2436, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-1.123&CDS=1-3753, augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-1.70&CDS=1-1740, augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-3.172-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-3.172&CDS=1-3705
