	Saccharomyces_cerevisiae	Spathaspora_arborariae
OG0000000	YDR541C, YGL039W, YGL157W, YJL088W, YOL151W, YPL015C	genemark-AYLH01000381.1-processed-gene-0.1-mRNA-1_1&gene=genemark-AYLH01000381.1-processed-gene-0.1&CDS=1-1002, genemark-KI547134.1-processed-gene-3.70-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-3.70&CDS=1-1017, genemark-KI547135.1-processed-gene-8.42-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-8.42&CDS=1-999, genemark-KI547135.1-processed-gene-9.90-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-9.90&CDS=1-999, genemark-KI547138.1-processed-gene-3.121-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-3.121&CDS=1-765, genemark-KI547139.1-processed-gene-3.100-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-3.100&CDS=1-603, genemark-KI547139.1-processed-gene-3.127-mRNA-1_1&gene=genemark-KI547139.1-processed-gene-3.127&CDS=1-1008, genemark-KI547143.1-processed-gene-0.113-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-0.113&CDS=1-1005, genemark-KI547144.1-processed-gene-0.118-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-0.118&CDS=1-1002, genemark-KI547147.1-processed-gene-1.41-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-1.41&CDS=1-996, genemark-KI547150.1-processed-gene-2.77-mRNA-1_1&gene=genemark-KI547150.1-processed-gene-2.77&CDS=1-1110, maker-KI547136.1-augustus-gene-1.1-mRNA-1_1&gene=maker-KI547136.1-augustus-gene-1.1&CDS=1-1986, maker-KI547137.1-augustus-gene-2.90-mRNA-1_1&gene=maker-KI547137.1-augustus-gene-2.90&CDS=1-2067, maker-KI547138.1-augustus-gene-5.55-mRNA-1_1&gene=maker-KI547138.1-augustus-gene-5.55&CDS=1-2043
OG0000001	YJR004C	augustus_masked-KI547136.1-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-KI547136.1-processed-gene-3.25&CDS=1-1287, genemark-KI547134.1-processed-gene-11.81-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-11.81&CDS=1-1770, genemark-KI547137.1-processed-gene-4.52-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-4.52&CDS=1-2574, genemark-KI547138.1-processed-gene-6.38-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.38&CDS=1-2667, genemark-KI547138.1-processed-gene-6.39-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-6.39&CDS=1-426, genemark-KI547142.1-processed-gene-2.53-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-2.53&CDS=1-2166, genemark-KI547143.1-processed-gene-4.43-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-4.43&CDS=1-654, genemark-KI547144.1-processed-gene-1.65-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-1.65&CDS=1-2358, genemark-KI547148.1-processed-gene-3.102-mRNA-1_1&gene=genemark-KI547148.1-processed-gene-3.102&CDS=1-1704, genemark-KI547154.1-processed-gene-0.221-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.221&CDS=1-1983, genemark-KI547154.1-processed-gene-0.243-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.243&CDS=1-1887, maker-KI547138.1-snap-gene-3.50-mRNA-1_1&gene=maker-KI547138.1-snap-gene-3.50&CDS=1-2517, maker-KI547140.1-snap-gene-3.134-mRNA-1_1&gene=maker-KI547140.1-snap-gene-3.134&CDS=1-6942, maker-KI547147.1-snap-gene-0.4-mRNA-1_1&gene=maker-KI547147.1-snap-gene-0.4&CDS=1-1716, snap_masked-AYLH01000370.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AYLH01000370.1-processed-gene-0.5&CDS=1-1269, snap_masked-KI547145.1-processed-gene-3.204-mRNA-1_1&gene=snap_masked-KI547145.1-processed-gene-3.204&CDS=1-204
OG0000002	YDR131C, YJL149W	augustus_masked-KI547135.1-processed-gene-11.18-mRNA-1_1&gene=augustus_masked-KI547135.1-processed-gene-11.18&CDS=1-1188, augustus_masked-KI547145.1-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-KI547145.1-processed-gene-1.28&CDS=1-2298, augustus_masked-KI547145.1-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-KI547145.1-processed-gene-1.29&CDS=1-1689, augustus_masked-KI547145.1-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-KI547145.1-processed-gene-1.31&CDS=1-2469, augustus_masked-KI547156.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-KI547156.1-processed-gene-0.62&CDS=1-1092, genemark-KI547143.1-processed-gene-0.93-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-0.93&CDS=1-1173, maker-KI547142.1-snap-gene-2.43-mRNA-1_1&gene=maker-KI547142.1-snap-gene-2.43&CDS=1-390, maker-KI547143.1-snap-gene-4.131-mRNA-1_1&gene=maker-KI547143.1-snap-gene-4.131&CDS=1-1827, snap_masked-KI547136.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-KI547136.1-processed-gene-0.10&CDS=1-1086, snap_masked-KI547136.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-KI547136.1-processed-gene-0.35&CDS=1-1188, snap_masked-KI547140.1-processed-gene-3.113-mRNA-1_1&gene=snap_masked-KI547140.1-processed-gene-3.113&CDS=1-969, snap_masked-KI547148.1-processed-gene-0.13-mRNA-1_1&gene=snap_masked-KI547148.1-processed-gene-0.13&CDS=1-237, snap_masked-KI547156.1-processed-gene-0.145-mRNA-1_1&gene=snap_masked-KI547156.1-processed-gene-0.145&CDS=1-252
OG0000003		augustus_masked-KI547138.1-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-KI547138.1-processed-gene-4.24&CDS=1-1203, augustus_masked-KI547147.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-KI547147.1-processed-gene-0.64&CDS=1-2808, genemark-KI547137.1-processed-gene-5.39-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-5.39&CDS=1-1356, genemark-KI547143.1-processed-gene-2.70-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-2.70&CDS=1-1296, genemark-KI547154.1-processed-gene-0.202-mRNA-1_1&gene=genemark-KI547154.1-processed-gene-0.202&CDS=1-1245, maker-KI547135.1-augustus-gene-7.3-mRNA-1_1&gene=maker-KI547135.1-augustus-gene-7.3&CDS=1-1050, maker-KI547135.1-augustus-gene-9.139-mRNA-1_1&gene=maker-KI547135.1-augustus-gene-9.139&CDS=1-2607, maker-KI547138.1-snap-gene-4.147-mRNA-1_1&gene=maker-KI547138.1-snap-gene-4.147&CDS=1-1332, maker-KI547151.1-snap-gene-0.131-mRNA-1_1&gene=maker-KI547151.1-snap-gene-0.131&CDS=1-2520, snap_masked-KI547147.1-processed-gene-3.69-mRNA-1_1&gene=snap_masked-KI547147.1-processed-gene-3.69&CDS=1-1221
OG0000004	YBR147W, YLR256W, YOL092W	augustus_masked-KI547140.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-KI547140.1-processed-gene-0.92&CDS=1-2249, genemark-KI547137.1-processed-gene-7.161-mRNA-1_1&gene=genemark-KI547137.1-processed-gene-7.161&CDS=1-2943, genemark-KI547140.1-processed-gene-5.10-mRNA-1_1&gene=genemark-KI547140.1-processed-gene-5.10&CDS=1-3399, genemark-KI547143.1-processed-gene-3.108-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-3.108&CDS=1-5904, genemark-KI547149.1-processed-gene-2.136-mRNA-1_1&gene=genemark-KI547149.1-processed-gene-2.136&CDS=1-2982, snap_masked-KI547140.1-processed-gene-5.183-mRNA-1_1&gene=snap_masked-KI547140.1-processed-gene-5.183&CDS=1-3993
OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-KI547134.1-processed-gene-11.132-mRNA-1_1&gene=augustus_masked-KI547134.1-processed-gene-11.132&CDS=1-1713, augustus_masked-KI547142.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-KI547142.1-processed-gene-0.14&CDS=1-1701
OG0000006	YCL025C, YDR508C, YKR039W	genemark-KI547138.1-processed-gene-0.16-mRNA-1_1&gene=genemark-KI547138.1-processed-gene-0.16&CDS=1-1605, genemark-KI547142.1-processed-gene-1.150-mRNA-1_1&gene=genemark-KI547142.1-processed-gene-1.150&CDS=1-1689, genemark-KI547143.1-processed-gene-2.49-mRNA-1_1&gene=genemark-KI547143.1-processed-gene-2.49&CDS=1-1743, genemark-KI547144.1-processed-gene-2.68-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-2.68&CDS=1-1755, genemark-KI547146.1-processed-gene-3.19-mRNA-1_1&gene=genemark-KI547146.1-processed-gene-3.19&CDS=1-1740, genemark-KI547157.1-processed-gene-0.108-mRNA-1_1&gene=genemark-KI547157.1-processed-gene-0.108&CDS=1-1761
OG0000007	YJR061W, YKL201C	augustus_masked-KI547136.1-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-KI547136.1-processed-gene-3.27&CDS=1-2382, genemark-KI547136.1-processed-gene-3.90-mRNA-1_1&gene=genemark-KI547136.1-processed-gene-3.90&CDS=1-2304, genemark-KI547144.1-processed-gene-1.67-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-1.67&CDS=1-2892, genemark-KI547160.1-processed-gene-0.50-mRNA-1_1&gene=genemark-KI547160.1-processed-gene-0.50&CDS=1-2292, maker-KI547134.1-snap-gene-8.140-mRNA-1_1&gene=maker-KI547134.1-snap-gene-8.140&CDS=1-4920, maker-KI547144.1-snap-gene-0.84-mRNA-1_1&gene=maker-KI547144.1-snap-gene-0.84&CDS=1-2262, snap_masked-KI547134.1-processed-gene-3.111-mRNA-1_1&gene=snap_masked-KI547134.1-processed-gene-3.111&CDS=1-1809
OG0000008	YGL257C, YNR059W	genemark-KI547134.1-processed-gene-4.44-mRNA-1_1&gene=genemark-KI547134.1-processed-gene-4.44&CDS=1-2163, genemark-KI547135.1-processed-gene-6.121-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-6.121&CDS=1-2325, genemark-KI547144.1-processed-gene-0.87-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-0.87&CDS=1-2049, genemark-KI547147.1-processed-gene-3.5-mRNA-1_1&gene=genemark-KI547147.1-processed-gene-3.5&CDS=1-2169, maker-KI547142.1-snap-gene-0.92-mRNA-1_1&gene=maker-KI547142.1-snap-gene-0.92&CDS=1-687, maker-KI547146.1-snap-gene-3.132-mRNA-1_1&gene=maker-KI547146.1-snap-gene-3.132&CDS=1-8898
OG0000009		augustus_masked-KI547139.1-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-KI547139.1-processed-gene-3.64&CDS=1-6096, genemark-KI547135.1-processed-gene-12.221-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-12.221&CDS=1-2112, genemark-KI547135.1-processed-gene-4.45-mRNA-1_1&gene=genemark-KI547135.1-processed-gene-4.45&CDS=1-2115, genemark-KI547144.1-processed-gene-2.55-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-2.55&CDS=1-2175, genemark-KI547144.1-processed-gene-3.71-mRNA-1_1&gene=genemark-KI547144.1-processed-gene-3.71&CDS=1-2148, maker-KI547139.1-snap-gene-2.1-mRNA-1_1&gene=maker-KI547139.1-snap-gene-2.1&CDS=1-3366, snap_masked-KI547134.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-KI547134.1-processed-gene-0.55&CDS=1-2073, snap_masked-KI547136.1-processed-gene-6.125-mRNA-1_1&gene=snap_masked-KI547136.1-processed-gene-6.125&CDS=1-1878
