	Lachancea_lanzarotensis	Saccharomyces_cerevisiae
OG0000000	snap_masked-LN736371.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LN736371.1-processed-gene-0.56&CDS=1-486	YBL111C, YDR545W, YEL075C, YEL076C, YEL076C-A, YER189W, YER190W, YFL064C, YFL065C, YGR296W, YHL049C, YHR218W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR464W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W
OG0000001	maker-LN736371.1-snap-gene-1.39-mRNA-1_1&gene=maker-LN736371.1-snap-gene-1.39&CDS=1-6168, snap_masked-LN736360.1-processed-gene-10.75-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-10.75&CDS=1-1917, snap_masked-LN736360.1-processed-gene-6.30-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-6.30&CDS=1-1950, snap_masked-LN736363.1-processed-gene-6.72-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-6.72&CDS=1-2046, snap_masked-LN736369.1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-2.81&CDS=1-1923, snap_masked-LN736371.1-processed-gene-2.97-mRNA-1_1&gene=snap_masked-LN736371.1-processed-gene-2.97&CDS=1-1839	YAL005C, YBL075C, YDL229W, YEL030W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W
OG0000002		YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
OG0000003	augustus_masked-LN736367.1-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-2.9&CDS=1-4203, maker-LN736360.1-snap-gene-17.122-mRNA-1_1&gene=maker-LN736360.1-snap-gene-17.122&CDS=1-4776, snap_masked-LN736360.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-0.27&CDS=1-1545, snap_masked-LN736361.1-processed-gene-5.91-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-5.91&CDS=1-1536, snap_masked-LN736364.1-processed-gene-8.158-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-8.158&CDS=1-1551, snap_masked-LN736367.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-0.58&CDS=1-1656, snap_masked-LN736369.1-processed-gene-4.135-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-4.135&CDS=1-1860, snap_masked-LN736378.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LN736378.1-processed-gene-0.1&CDS=1-1704, snap_masked-LN736381.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LN736381.1-processed-gene-0.3&CDS=1-1656	YCL069W, YJR152W, YKR105C, YPR198W
OG0000004	snap_masked-LN736360.1-processed-gene-5.76-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-5.76&CDS=1-1614	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B
OG0000005	snap_masked-LN736360.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-0.31&CDS=1-1767, snap_masked-LN736360.1-processed-gene-17.91-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-17.91&CDS=1-1752, snap_masked-LN736372.1-processed-gene-2.92-mRNA-1_1&gene=snap_masked-LN736372.1-processed-gene-2.92&CDS=1-1776	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
OG0000006	augustus_masked-LN736365.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-0.84&CDS=1-1077, augustus_masked-LN736365.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-0.85&CDS=1-1080, augustus_masked-LN736365.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-0.86&CDS=1-1083, augustus_masked-LN736365.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-0.87&CDS=1-1083, augustus_masked-LN736365.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-LN736365.1-processed-gene-0.88&CDS=1-1026, augustus_masked-LN736367.1-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-6.13&CDS=1-1311, augustus_masked-LN736367.1-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-LN736367.1-processed-gene-6.14&CDS=1-1125, snap_masked-LN736363.1-processed-gene-6.64-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-6.64&CDS=1-855, snap_masked-LN736366.1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.91&CDS=1-1116	
OG0000007	snap_masked-LN736360.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-0.1&CDS=1-756, snap_masked-LN736360.1-processed-gene-13.53-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-13.53&CDS=1-756, snap_masked-LN736363.1-processed-gene-4.78-mRNA-1_1&gene=snap_masked-LN736363.1-processed-gene-4.78&CDS=1-759, snap_masked-LN736364.1-processed-gene-4.29-mRNA-1_1&gene=snap_masked-LN736364.1-processed-gene-4.29&CDS=1-759, snap_masked-LN736366.1-processed-gene-2.119-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-2.119&CDS=1-762, snap_masked-LN736369.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LN736369.1-processed-gene-0.20&CDS=1-759, snap_masked-LN736376.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-LN736376.1-processed-gene-0.31&CDS=1-645	YKL071W
OG0000008	snap_masked-LN736360.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-0.33&CDS=1-1692, snap_masked-LN736365.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-LN736365.1-processed-gene-0.22&CDS=1-1668, snap_masked-LN736366.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-LN736366.1-processed-gene-0.54&CDS=1-1674, snap_masked-LN736367.1-processed-gene-2.67-mRNA-1_1&gene=snap_masked-LN736367.1-processed-gene-2.67&CDS=1-1716, snap_masked-LN736370.1-processed-gene-2.0-mRNA-1_1&gene=snap_masked-LN736370.1-processed-gene-2.0&CDS=1-1719	YEL063C, YNL268W, YOR348C
OG0000009	snap_masked-LN736360.1-processed-gene-16.119-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-16.119&CDS=1-3348, snap_masked-LN736360.1-processed-gene-8.132-mRNA-1_1&gene=snap_masked-LN736360.1-processed-gene-8.132&CDS=1-3321, snap_masked-LN736361.1-processed-gene-7.7-mRNA-1_1&gene=snap_masked-LN736361.1-processed-gene-7.7&CDS=1-2727, snap_masked-LN736372.1-processed-gene-2.109-mRNA-1_1&gene=snap_masked-LN736372.1-processed-gene-2.109&CDS=1-2310	YER013W, YGL120C, YKR086W, YNR011C
