	Saccharomyces_cerevisiae	yHMPu5000035279_Tortispora_starmeri
OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W	
OG0000001	YBR008C, YGR138C, YHR048W, YLL028W, YOR273C, YPR156C	augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.29&CDS=1-1497, augustus_masked-NODE_18_length_174771_cov_20.4811_ID_5550-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_18_length_174771_cov_20.4811_ID_5550-processed-gene-0.127&CDS=1-1590, augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.36&CDS=1-1503, augustus_masked-NODE_51_length_47217_cov_25.182_ID_9480-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_51_length_47217_cov_25.182_ID_9480-processed-gene-0.78&CDS=1-1632, augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-1.30&CDS=1-1692, augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.146&CDS=1-1605, maker-NODE_46_length_56016_cov_11.5161_ID_7719-augustus-gene-0.64-mRNA-1_1&gene=maker-NODE_46_length_56016_cov_11.5161_ID_7719-augustus-gene-0.64&CDS=1-5469
OG0000002	YCL024W, YDL101C, YDR122W, YDR477W, YDR507C, YLR096W, YPL150W	augustus_masked-NODE_15_length_254194_cov_22.2788_ID_8836-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_15_length_254194_cov_22.2788_ID_8836-processed-gene-0.15&CDS=1-1482, augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-0.128&CDS=1-2829, augustus_masked-NODE_26_length_119625_cov_21.6396_ID_8164-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_26_length_119625_cov_21.6396_ID_8164-processed-gene-0.31&CDS=1-1947, augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.119&CDS=1-2175, augustus_masked-NODE_37_length_74361_cov_15.2065_ID_6343-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_37_length_74361_cov_15.2065_ID_6343-processed-gene-0.43&CDS=1-1629
OG0000003	YAL005C, YJL034W, YJR045C, YKL073W, YLL024C, YNL209W	augustus_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_24_length_130058_cov_10.5455_ID_5052-processed-gene-0.13&CDS=1-1938, augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.182-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.182&CDS=1-1839, augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-2.25&CDS=1-1995, augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_7_length_343474_cov_9.93038_ID_8452-processed-gene-0.79&CDS=1-1935, augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-2.106&CDS=1-2622
OG0000004	YAR019C, YDR523C, YHL007C, YHR102W, YNL298W	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.70&CDS=1-2103, augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.114&CDS=1-3093, augustus_masked-NODE_46_length_56016_cov_11.5161_ID_7719-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_46_length_56016_cov_11.5161_ID_7719-processed-gene-0.72&CDS=1-1557, augustus_masked-NODE_50_length_47779_cov_10.5208_ID_7381-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_50_length_47779_cov_10.5208_ID_7381-processed-gene-0.64&CDS=1-1719, augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_8_length_337577_cov_19.7412_ID_10463-processed-gene-1.142&CDS=1-3342, maker-NODE_54_length_38395_cov_5.40587_ID_7683-snap-gene-0.19-mRNA-1_1&gene=maker-NODE_54_length_38395_cov_5.40587_ID_7683-snap-gene-0.19&CDS=1-2757
OG0000005	YBL063W, YGL216W, YPL155C, YPR141C	augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-1.68&CDS=1-2079, augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-3.156&CDS=1-1482, augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-NODE_2_length_467089_cov_10.6916_ID_10198-processed-gene-2.142&CDS=1-4356, augustus_masked-NODE_33_length_96181_cov_11.781_ID_8249-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_33_length_96181_cov_11.781_ID_8249-processed-gene-0.44&CDS=1-8730, augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-0.1&CDS=1-3063, augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.190-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-2.190&CDS=1-2241, genemark-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-0.99-mRNA-1_1&gene=genemark-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-0.99&CDS=1-1725
OG0000006	YBR132C, YDR160W, YEL063C, YKR039W, YPL265W	augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NODE_13_length_269795_cov_9.87415_ID_4553-processed-gene-1.23&CDS=1-1689, augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NODE_16_length_219844_cov_10.6473_ID_4879-processed-gene-1.56&CDS=1-1743, augustus_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.220-mRNA-1_1&gene=augustus_masked-NODE_22_length_149070_cov_11.0274_ID_7759-processed-gene-0.220&CDS=1-2145, maker-NODE_11_length_292204_cov_10.5323_ID_7970-snap-gene-1.0-mRNA-1_1&gene=maker-NODE_11_length_292204_cov_10.5323_ID_7970-snap-gene-1.0&CDS=1-3177, maker-NODE_2_length_467089_cov_10.6916_ID_10198-snap-gene-3.104-mRNA-1_1&gene=maker-NODE_2_length_467089_cov_10.6916_ID_10198-snap-gene-3.104&CDS=1-5304, snap_masked-NODE_41_length_65693_cov_10.1195_ID_9188-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_41_length_65693_cov_10.1195_ID_9188-processed-gene-0.18&CDS=1-1758
OG0000007	YBR240C, YDR207C	augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_11_length_292204_cov_10.5323_ID_7970-processed-gene-1.8&CDS=1-2127, augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-0.73&CDS=1-1221, augustus_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_17_length_210941_cov_10.8118_ID_5448-processed-gene-0.104&CDS=1-2541, augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.93&CDS=1-1968, augustus_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.262-mRNA-1_1&gene=augustus_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.262&CDS=1-1800, augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_21_length_151641_cov_11.3966_ID_7104-processed-gene-0.26&CDS=1-2058, augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_5_length_385981_cov_13.3379_ID_9389-processed-gene-1.15&CDS=1-1911, snap_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_20_length_156244_cov_13.4188_ID_5146-processed-gene-0.70&CDS=1-1425, snap_masked-NODE_52_length_39535_cov_13.1388_ID_7873-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_52_length_39535_cov_13.1388_ID_7873-processed-gene-0.25&CDS=1-1776
OG0000008	YBR006W, YMR110C, YMR169C, YMR170C, YOR374W	augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-NODE_14_length_268810_cov_12.6902_ID_16700-processed-gene-1.44&CDS=1-1485, augustus_masked-NODE_15_length_254194_cov_22.2788_ID_8836-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-NODE_15_length_254194_cov_22.2788_ID_8836-processed-gene-1.231&CDS=1-1473, augustus_masked-NODE_39_length_68645_cov_16.4678_ID_8572-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_39_length_68645_cov_16.4678_ID_8572-processed-gene-0.44&CDS=1-1494, augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_3_length_450795_cov_10.6456_ID_8383-processed-gene-1.58&CDS=1-1590, augustus_masked-NODE_48_length_51838_cov_10.782_ID_7465-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_48_length_51838_cov_10.782_ID_7465-processed-gene-0.37&CDS=1-3825
OG0000009	YBR033W, YHR178W, YKL038W, YMR280C	augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_19_length_165505_cov_10.3433_ID_4723-processed-gene-0.6&CDS=1-2460, augustus_masked-NODE_34_length_94713_cov_11.1369_ID_5741-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_34_length_94713_cov_11.1369_ID_5741-processed-gene-0.53&CDS=1-2421, augustus_masked-NODE_43_length_62223_cov_26.2295_ID_7310-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_43_length_62223_cov_26.2295_ID_7310-processed-gene-0.70&CDS=1-1950, augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-1.18&CDS=1-2751, genemark-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-2.182-mRNA-1_1&gene=genemark-NODE_6_length_356371_cov_17.7217_ID_8086-processed-gene-2.182&CDS=1-1950, snap_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.168-mRNA-1_1&gene=snap_masked-NODE_1_length_530835_cov_11.0226_ID_5813-processed-gene-4.168&CDS=1-2247
