	Metschnikowia_similis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-sim-_C24409-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_C24409-processed-gene-0.1&CDS=1-624, augustus_masked-sim-_C24475-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_C24475-processed-gene-0.0&CDS=1-759, augustus_masked-sim-_C26637-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_C26637-processed-gene-0.4&CDS=1-1257, augustus_masked-sim-_s170-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.11&CDS=1-2052, augustus_masked-sim-_s170-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.12&CDS=1-1509, augustus_masked-sim-_s236-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-sim-_s236-processed-gene-1.134&CDS=1-384, augustus_masked-sim-_s325-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s325-processed-gene-0.7&CDS=1-765, genemark-sim-_s412-processed-gene-0.28-mRNA-1_1&gene=genemark-sim-_s412-processed-gene-0.28&CDS=1-1578, maker-sim-_s278-snap-gene-0.1-mRNA-1_1&gene=maker-sim-_s278-snap-gene-0.1&CDS=1-672, snap_masked-sim-_C23859-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sim-_C23859-processed-gene-0.0&CDS=1-546, snap_masked-sim-_C26491-processed-gene-0.1-mRNA-1_1&gene=snap_masked-sim-_C26491-processed-gene-0.1&CDS=1-660, snap_masked-sim-_C27153-processed-gene-0.14-mRNA-1_1&gene=snap_masked-sim-_C27153-processed-gene-0.14&CDS=1-933, snap_masked-sim-_s18-processed-gene-0.44-mRNA-1_1&gene=snap_masked-sim-_s18-processed-gene-0.44&CDS=1-1785, snap_masked-sim-_s194-processed-gene-0.76-mRNA-1_1&gene=snap_masked-sim-_s194-processed-gene-0.76&CDS=1-645, snap_masked-sim-_s363-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sim-_s363-processed-gene-0.0&CDS=1-600, snap_masked-sim-_s404-processed-gene-0.12-mRNA-1_1&gene=snap_masked-sim-_s404-processed-gene-0.12&CDS=1-2496	
OG0000001	augustus_masked-sim-_s100-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-sim-_s100-processed-gene-0.59&CDS=1-393, augustus_masked-sim-_s24-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-sim-_s24-processed-gene-0.53&CDS=1-468, augustus_masked-sim-_s302-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s302-processed-gene-0.2&CDS=1-1293, augustus_masked-sim-_s310-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.57&CDS=1-858, genemark-sim-_s164-processed-gene-0.20-mRNA-1_1&gene=genemark-sim-_s164-processed-gene-0.20&CDS=1-2307, maker-sim-_s188-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s188-augustus-gene-0.0&CDS=1-2154, maker-sim-_s307-snap-gene-0.17-mRNA-1_1&gene=maker-sim-_s307-snap-gene-0.17&CDS=1-474, maker-sim-_s8-augustus-gene-0.13-mRNA-1_1&gene=maker-sim-_s8-augustus-gene-0.13&CDS=1-558, snap_masked-sim-_C26799-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sim-_C26799-processed-gene-0.5&CDS=1-273, snap_masked-sim-_s189-processed-gene-0.19-mRNA-1_1&gene=snap_masked-sim-_s189-processed-gene-0.19&CDS=1-312, snap_masked-sim-_s257-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sim-_s257-processed-gene-0.4&CDS=1-198, snap_masked-sim-_s257-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sim-_s257-processed-gene-0.5&CDS=1-678, snap_masked-sim-_s360-processed-gene-0.36-mRNA-1_1&gene=snap_masked-sim-_s360-processed-gene-0.36&CDS=1-342, snap_masked-sim-_s386-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sim-_s386-processed-gene-0.4&CDS=1-405	
OG0000002		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
OG0000003	augustus_masked-sim-_C26637-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_C26637-processed-gene-0.3&CDS=1-2109, augustus_masked-sim-_s18-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.150&CDS=1-2172, augustus_masked-sim-_s202-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s202-processed-gene-0.15&CDS=1-2139	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000004	augustus_masked-sim-_s200-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-sim-_s200-processed-gene-1.47&CDS=1-1803, augustus_masked-sim-_s6-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-sim-_s6-processed-gene-0.102&CDS=1-1785, genemark-sim-_s101-processed-gene-0.2-mRNA-1_1&gene=genemark-sim-_s101-processed-gene-0.2&CDS=1-1149, genemark-sim-_s133-processed-gene-0.15-mRNA-1_1&gene=genemark-sim-_s133-processed-gene-0.15&CDS=1-1728	YCL069W, YGR224W, YKR105C, YPR198W
OG0000005	augustus_masked-sim-_s112-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-sim-_s112-processed-gene-0.74&CDS=1-1086, augustus_masked-sim-_s170-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_s170-processed-gene-0.3&CDS=1-1083, augustus_masked-sim-_s395-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sim-_s395-processed-gene-0.37&CDS=1-1080, augustus_masked-sim-_s395-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sim-_s395-processed-gene-0.38&CDS=1-1080, augustus_masked-sim-_s471-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s471-processed-gene-0.7&CDS=1-1128, maker-sim-_s395-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s395-augustus-gene-0.0&CDS=1-1005	YCR105W, YMR318C
OG0000006	augustus_masked-sim-_s236-processed-gene-1.151-mRNA-1_1&gene=augustus_masked-sim-_s236-processed-gene-1.151&CDS=1-1698	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000007	augustus_masked-sim-_s231-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s231-processed-gene-0.0&CDS=1-480, augustus_masked-sim-_s354-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s354-processed-gene-0.2&CDS=1-444, genemark-sim-_s288-processed-gene-0.3-mRNA-1_1&gene=genemark-sim-_s288-processed-gene-0.3&CDS=1-429, snap_masked-sim-_s105-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sim-_s105-processed-gene-0.5&CDS=1-549, snap_masked-sim-_s41-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sim-_s41-processed-gene-0.0&CDS=1-489, snap_masked-sim-_s69-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sim-_s69-processed-gene-0.2&CDS=1-489	YPR017C
OG0000008	augustus_masked-sim-_s111-processed-gene-2.160-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-2.160&CDS=1-2502, augustus_masked-sim-_s246-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-sim-_s246-processed-gene-1.136&CDS=1-2751, augustus_masked-sim-_s251-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s251-processed-gene-0.12&CDS=1-3612, augustus_masked-sim-_s40-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s40-processed-gene-0.0&CDS=1-2709, maker-sim-_s228-augustus-gene-0.92-mRNA-1_1&gene=maker-sim-_s228-augustus-gene-0.92&CDS=1-3012, maker-sim-_s251-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s251-augustus-gene-0.0&CDS=1-3495	YLR256W
OG0000009	augustus_masked-sim-_s136-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-sim-_s136-processed-gene-0.119&CDS=1-2658, augustus_masked-sim-_s282-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-sim-_s282-processed-gene-0.44&CDS=1-987	YDR253C, YGR067C, YMR182C, YPL038W
