	Saccharomyces_cerevisiae	Spathaspora_passalidarum
OG0000000	YDR131C, YJL149W	augustus_masked-scaffold_1-processed-gene-19.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.33&CDS=1-1428, augustus_masked-scaffold_1-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.132&CDS=1-1188, augustus_masked-scaffold_1-processed-gene-23.22-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.22&CDS=1-1128, augustus_masked-scaffold_1-processed-gene-23.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.31&CDS=1-1200, augustus_masked-scaffold_2-processed-gene-15.73-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.73&CDS=1-1404, augustus_masked-scaffold_2-processed-gene-6.70-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.70&CDS=1-1194, augustus_masked-scaffold_4-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.14&CDS=1-1113, augustus_masked-scaffold_4-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.15&CDS=1-1170, augustus_masked-scaffold_4-processed-gene-10.57-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.57&CDS=1-1218, augustus_masked-scaffold_4-processed-gene-14.24-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.24&CDS=1-1320, augustus_masked-scaffold_5-processed-gene-14.135-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.135&CDS=1-1347, augustus_masked-scaffold_6-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.123&CDS=1-1266, augustus_masked-scaffold_6-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.51&CDS=1-1266, augustus_masked-scaffold_6-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.6&CDS=1-1170, augustus_masked-scaffold_8-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.38&CDS=1-1344, augustus_masked-scaffold_8-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.110&CDS=1-1308, maker-scaffold_3-snap-gene-19.186-mRNA-1_1&gene=maker-scaffold_3-snap-gene-19.186&CDS=1-843, maker-scaffold_4-augustus-gene-14.94-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-14.94&CDS=1-1806, maker-scaffold_4-snap-gene-0.74-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.74&CDS=1-294, maker-scaffold_7-snap-gene-5.142-mRNA-1_1&gene=maker-scaffold_7-snap-gene-5.142&CDS=1-2358, snap_masked-scaffold_2-processed-gene-4.56-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.56&CDS=1-1176, snap_masked-scaffold_3-processed-gene-16.28-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-16.28&CDS=1-1305
OG0000001	YJR004C	augustus_masked-scaffold_1-processed-gene-16.98-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.98&CDS=1-2316, augustus_masked-scaffold_2-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.105&CDS=1-5202, augustus_masked-scaffold_2-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.50&CDS=1-1446, augustus_masked-scaffold_2-processed-gene-9.77-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.77&CDS=1-3288, augustus_masked-scaffold_3-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.16&CDS=1-3651, augustus_masked-scaffold_3-processed-gene-10.39-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.39&CDS=1-4608, augustus_masked-scaffold_3-processed-gene-17.47-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.47&CDS=1-1005, augustus_masked-scaffold_3-processed-gene-17.52-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.52&CDS=1-1005, augustus_masked-scaffold_3-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.80&CDS=1-2112, augustus_masked-scaffold_3-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.17&CDS=1-3258, augustus_masked-scaffold_4-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.66&CDS=1-6735, augustus_masked-scaffold_4-processed-gene-11.55-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.55&CDS=1-2196, maker-scaffold_1-augustus-gene-14.42-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-14.42&CDS=1-4470, maker-scaffold_1-snap-gene-0.38-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.38&CDS=1-1008, maker-scaffold_2-snap-gene-2.2-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.2&CDS=1-5373, maker-scaffold_2-snap-gene-8.4-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.4&CDS=1-6924, maker-scaffold_4-snap-gene-8.2-mRNA-1_1&gene=maker-scaffold_4-snap-gene-8.2&CDS=1-3375, maker-scaffold_5-snap-gene-13.131-mRNA-1_1&gene=maker-scaffold_5-snap-gene-13.131&CDS=1-9729, maker-scaffold_6-snap-gene-7.92-mRNA-1_1&gene=maker-scaffold_6-snap-gene-7.92&CDS=1-1512, snap_masked-scaffold_3-processed-gene-10.57-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.57&CDS=1-3756, snap_masked-scaffold_4-processed-gene-0.69-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.69&CDS=1-4263, snap_masked-scaffold_5-processed-gene-10.27-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-10.27&CDS=1-2625, snap_masked-scaffold_8-processed-gene-6.4-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-6.4&CDS=1-9585
OG0000002	YDR541C, YOL151W	augustus_masked-scaffold_1-processed-gene-18.132-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.132&CDS=1-1005, augustus_masked-scaffold_1-processed-gene-19.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.23&CDS=1-1008, augustus_masked-scaffold_1-processed-gene-25.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.20&CDS=1-1002, augustus_masked-scaffold_1-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.88&CDS=1-1002, augustus_masked-scaffold_1-processed-gene-5.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.3&CDS=1-1008, augustus_masked-scaffold_3-processed-gene-10.40-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.40&CDS=1-1002, augustus_masked-scaffold_3-processed-gene-10.51-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.51&CDS=1-993, augustus_masked-scaffold_3-processed-gene-13.39-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.39&CDS=1-1005, augustus_masked-scaffold_3-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.62&CDS=1-1002, augustus_masked-scaffold_4-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.22&CDS=1-1008, augustus_masked-scaffold_4-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.8&CDS=1-1002, augustus_masked-scaffold_6-processed-gene-8.8-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.8&CDS=1-996, augustus_masked-scaffold_7-processed-gene-5.64-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.64&CDS=1-1011, maker-scaffold_3-snap-gene-9.0-mRNA-1_1&gene=maker-scaffold_3-snap-gene-9.0&CDS=1-1266
OG0000003	YMR006C, YMR008C, YNL012W, YOL011W	augustus_masked-scaffold_3-processed-gene-18.77-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-18.77&CDS=1-1980, augustus_masked-scaffold_7-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.59&CDS=1-1800, augustus_masked-scaffold_7-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.60&CDS=1-1785, maker-scaffold_2-augustus-gene-2.95-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-2.95&CDS=1-3603, maker-scaffold_2-snap-gene-8.2-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.2&CDS=1-3153, maker-scaffold_4-augustus-gene-4.3-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.3&CDS=1-2811, maker-scaffold_7-snap-gene-4.144-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.144&CDS=1-3441
OG0000004	YJR061W, YKL201C	augustus_masked-scaffold_1-processed-gene-24.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.116&CDS=1-2889, augustus_masked-scaffold_1-processed-gene-25.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.18&CDS=1-2259, augustus_masked-scaffold_3-processed-gene-11.64-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.64&CDS=1-2457, augustus_masked-scaffold_3-processed-gene-11.85-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-11.85&CDS=1-2322, augustus_masked-scaffold_7-processed-gene-7.124-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.124&CDS=1-2304, genemark-scaffold_1-processed-gene-11.1-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.1&CDS=1-1842, maker-scaffold_1-snap-gene-25.200-mRNA-1_1&gene=maker-scaffold_1-snap-gene-25.200&CDS=1-6630, maker-scaffold_1-snap-gene-5.41-mRNA-1_1&gene=maker-scaffold_1-snap-gene-5.41&CDS=1-4866
OG0000005	YBL112C, YEL077C, YFL066C, YHR218W-A, YLL066C, YLL067C, YLR466W, YML133C, YPR204W	
OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-scaffold_1-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.136&CDS=1-1713, augustus_masked-scaffold_2-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.12&CDS=1-1704
OG0000007	YCL025C, YDR508C, YKR039W	augustus_masked-scaffold_2-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.101&CDS=1-1686, augustus_masked-scaffold_4-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.15&CDS=1-1749, augustus_masked-scaffold_4-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.33&CDS=1-1752, augustus_masked-scaffold_4-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.102&CDS=1-1743, augustus_masked-scaffold_7-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.49&CDS=1-1722
OG0000008	YGL038C	augustus_masked-scaffold_1-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.82&CDS=1-3090, augustus_masked-scaffold_2-processed-gene-18.64-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.64&CDS=1-2478, augustus_masked-scaffold_4-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.67&CDS=1-1164, augustus_masked-scaffold_6-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.34&CDS=1-1161, maker-scaffold_5-snap-gene-12.117-mRNA-1_1&gene=maker-scaffold_5-snap-gene-12.117&CDS=1-2376, maker-scaffold_7-snap-gene-5.147-mRNA-1_1&gene=maker-scaffold_7-snap-gene-5.147&CDS=1-5625, snap_masked-scaffold_5-processed-gene-12.96-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.96&CDS=1-1251
OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-scaffold_5-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.58&CDS=1-1356, maker-scaffold_2-snap-gene-17.5-mRNA-1_1&gene=maker-scaffold_2-snap-gene-17.5&CDS=1-4050
